x	y	rho	p
C5	C3	0.70093808630394	1.24642176578166e-06
C6	C3	0.679924953095685	2.88304682287644e-06
A1	C4	0.0574108818011257	0.724152253958549
A2	C4	0.0127579737335835	0.937882870879953
A3	C4	0.124202626641651	0.443735350071959
A4	C4	0.00675422138836773	0.967307775824668
A5	C4	0.0116322701688555	0.943394953406183
A6	C4	-0.00900562851782364	0.956266273935718
B1	C4	-0.326266416510319	0.0404309391061648
B2	C4	-0.3046904315197	0.056337297779278
B3	C4	-0.200375234521576	0.214307389313547
C1	C4	0.567729831144466	0.00017316900624489
C2	C4	0.583864915572233	0.000103456206975622
C3	C4	0.636022514071295	1.63898121057443e-05
C4	C4	1	0
C5	C4	0.727579737335835	4.69178833832618e-07
C6	C4	0.687992495309569	2.08236837278787e-06
A1	C5	0.225891181988743	0.160625749968129
A2	C5	0.226078799249531	0.160271485992018
A3	C5	0.305065666041276	0.056022905057849
A4	C5	0.165666041275797	0.305785651417213
A5	C5	0.0692307692307692	0.67024550732486
A6	C5	0.1093808630394	0.500314679142884
B1	C5	-0.298874296435272	0.0613948704917309
B2	C5	-0.291369606003752	0.0684520366806117
B3	C5	-0.239024390243902	0.137187659852108
C1	C5	0.585365853658537	9.84905357471135e-05
C2	C5	0.675422138836773	3.45900405571807e-06
C3	C5	0.70093808630394	1.24642176578166e-06
C4	C5	0.727579737335835	4.69178833832618e-07
C5	C5	1	0
C6	C5	0.555534709193246	0.000251534059730114
A1	C6	0.194183864915572	0.229032928664787
A2	C6	0.049906191369606	0.759101483787333
A3	C6	0.154596622889306	0.339580367023155
A4	C6	0.00469043151969981	0.977434550128028
A5	C6	-0.075609756097561	0.641803374749948
A6	C6	0.0292682926829268	0.857503414061865
B1	C6	-0.252908067542214	0.115295652519444
B2	C6	-0.269981238273921	0.0921498656038385
B3	C6	-0.0969981238273921	0.550278839530053
C1	C6	0.700375234521576	1.27408501054202e-06
C2	C6	0.627954971857411	2.21910482837299e-05
C3	C6	0.679924953095685	2.88304682287644e-06
C4	C6	0.687992495309569	2.08236837278787e-06
C5	C6	0.555534709193246	0.000251534059730114
C6	C6	1	0
