symbol	log2FC	baseMean	group
Dusp4	3.8941	70.6236	Up
Ptpmt1	-0.0454	400.5099	None
Arhgap18	1.4139	193.3124	Up
Eif3c	-0.1019	384.9269	None
Ccdc8	0.239	25.6764	None
Ruvbl1	-0.5353	12.2967	None
B230217O12Rik	-1.8753	15.6757	Down
Mrps30	-0.2152	239.6357	None
Snx3	-0.2356	708.2842	None
Fbxo44	0.9058	33.6847	None
Ing3	0.1057	67.9262	None
Ackr3	2.5105	53.7743	Up
Rnu73b	-1.0105	4.1003	None
Hectd1	-0.4314	933.8721	None
2310057M21Rik	-0.7533	27.6181	None
Zfp811	0.132	3.5318	None
Cers5	0.5851	25.6659	None
B3galnt1	1.3271	15.2214	None
Mrpl3	-0.1618	114.394	None
Gng5	-0.8394	31.5836	None
Rab24	-0.0443	343.9198	None
Slc27a4	0.0885	327.0676	None
Zmat1	0.2213	108.2924	None
Ston2	0.2141	186.9432	None
Ccdc59	-0.0466	68.4283	None
Gm19522	-2.2371	17.8731	Down
Tmem30a	-0.1538	2392.8753	None
Adgb	1.8572	12.8287	None
Ndrg1	1.9765	469.0056	Up
Rmnd1	-0.4268	113.3932	None
Cryzl1	-0.1474	52.4719	None
Zfr	0.188	344.573	None
Lurap1l	0.4649	787.1218	None
Dnajc19	-1.2442	53.1454	Down
Traf5	-0.3068	40.1649	None
Pkd2l2	0.089	116.0798	None
Golga2	0.1061	422.0624	None
Ces2d-ps	-0.0025	67.7131	None
Ncln	0.1344	708.6515	None
Cinp	0.1009	109.2763	None
Olfr1372-ps1	-0.9324	9.5769	None
Mcrs1	-0.2054	23.5432	None
Ccn4	0.0648	21.7924	None
Lypd1	1.7975	108.6137	Up
Map1a	1.0852	23.5416	None
Nudt15	-0.9438	23.497	None
Kansl3	-0.1939	632.8024	None
Yap1	-3.7697	544.6916	Down
Gm10432	-0.0844	13.2991	None
Gda	-0.9615	475.1481	None
Nudt2	-0.2474	134.5895	None
Gm4969	1.1298	8.0458	None
5033417F24Rik	-0.5604	16.3777	None
Snora33	-0.5245	4.0072	None
Lsm10	-0.3473	145.1391	None
Ift122	0.7535	17.2855	None
Zscan25	0.0354	84.8621	None
Mup8	-10.6246	705.0425	Down
D030028A08Rik	-0.8285	16.5533	None
Gm44502	0.4215	375.5371	None
Wdr24	-0.0158	197.7738	None
Fam193a	0.3125	166.7665	None
Wfdc21	-0.9813	134.4984	None
Cd37	0.291	25.0649	None
Rps6	-0.0615	294.7473	None
Synpo	1.5211	405.3761	Up
1810030O07Rik	0.3318	122.8606	None
Slc4a9	4.4891	8.7454	Up
Bcas1	-0.0699	2.0536	None
Mif	0.1091	182.1595	None
B4galt5	1.3066	821.0079	Up
Mapk8	-0.0269	244.3222	None
Sdc4	0.2109	6602.5448	None
Nup37	0.114	10.0839	None
Pola1	0.1068	26.7202	None
Cebpb	0.4521	4552.5492	None
4930455H04Rik	0.1222	33.6583	None
Capn1	0.8629	156.9999	None
Antxr2	0.5292	476.6958	None
Mief1	-0.638	474.0255	None
Ptgr2	-0.3225	820.7978	None
Tmem160	0.1406	118.3423	None
Ankrd44	0.1764	76.4255	None
Ctdsp1	-0.0903	2111.8925	None
Mtpap	-0.1491	138.5229	None
C030006K11Rik	-0.7824	399.5347	None
Ccdc146	0.1263	7.5126	None
Rap1gds1	0.1907	299.0704	None
Mtss1	-1.4086	2652.6092	Down
Ntm	-1.0347	10.8336	None
Ift74	0.4976	5.522	None
Ppid	-0.3005	120.6493	None
Dars	-0.3973	256.3656	None
Brsk1	0.8496	5.0088	None
Gm28856	3.5543	2.5274	None
Atp2a3	-0.3776	34.0281	None
Irx3	-2.6977	9.019	Down
Rnf19a	0.4656	357.6357	None
Thap6	-0.0936	147.1236	None
Fam107b	-0.7164	797.3292	None
Snrpd2	-0.1751	31.7359	None
Myo1g	0.3081	18.9723	None
1700028E10Rik	-2.0761	9.2797	Down
Dock10	1.0451	39.0581	None
Apba3	-0.4052	257.9089	None
Scoc	-0.0828	139.802	None
A530072M11Rik	-0.8339	3.195	None
Rsrc1	-0.6735	169.1059	None
Fam131c	1.8884	29.5642	Up
Tlnrd1	0.5751	218.1841	None
Zfp692	-0.3507	66.4805	None
Ccdc88b	0.7753	40.6392	None
Ttyh3	0.652	278.0321	None
Glyr1	-0.076	973.7386	None
Gpr35	1.9369	39.7715	Up
Tmc3	1.7633	11.2928	None
Tnfrsf10b	4.1836	38.3177	Up
Asb14	0.6019	7.0914	None
Jun	4.7515	4292.0894	Up
Foxc2	2.161	11.9712	None
Apoc2	0.1493	593.7878	None
Tnfrsf4	-1.1018	4.109	None
Mtfr1	-0.5428	668.4946	None
Slc39a10	0.979	47.1149	None
Fam129a	1.7179	73.9294	Up
Tmem248	-0.1866	807.059	None
Aga	0.1305	17.9383	None
Keap1	-0.2849	819.399	None
Hlx	0.2733	94.1907	None
Rnd3	1.1285	499.437	Up
Cd164	-0.0088	4910.9527	None
Trim30a	0.1652	180.6363	None
Rbm4b	-0.1877	181.9849	None
Cyp2d9	1.7366	491.8403	Up
Gzmb	0.9678	15.0757	None
Map2k3	-0.5004	636.9678	None
B4galt3	0.2722	128.2011	None
Ago1	0.0955	522.9143	None
Mir7676-2	1.0174	20.7402	None
Lama4	-0.4217	8.7536	None
Afap1	1.5978	46.6484	Up
Uts2	-4.3744	1.7032	None
Plbd2	0.6818	924.8151	None
Ncoa5	0.5083	185.8066	None
4930412C18Rik	-0.2131	70.3796	None
Tmem212	4.6734	2.6052	None
Mkrn3	0.3026	8.2514	None
Rsph3b	-0.1986	120.6551	None
Asah2	0.257	231.311	None
Jmjd4	-0.6194	131.8025	None
Rbm5	-0.4784	189.6888	None
Fam209	-0.8565	2.8932	None
Katna1	-0.3072	34.7858	None
H6pd	0.5568	5696.6685	None
Prpf40a	-0.0279	429.7488	None
Tjap1	0.4386	114.8787	None
Inpp5j	6.3357	16.1971	Up
Mapk15	-0.6942	59.7418	None
Adgrf5	-0.3009	362.162	None
Dusp5	3.019	52.3514	Up
Arl8a	1.3837	271.6262	Up
Pxn	0.2718	685.6862	None
Hic1	0.1255	104.4881	None
Apold1	2.8983	124.7506	Up
Pknox1	-0.1932	209.3516	None
Rbfox2	-0.1108	662.1961	None
Ubl7	-0.3615	66.2511	None
Jag1	-0.397	53.127	None
Mup19	-9.9178	2202.6854	Down
Hnrnph3	-1.1284	125.9601	Down
Sspo	-3.1445	11.1545	Down
Adamts12	4.1251	46.8989	Up
Elmo1	2.2068	57.9861	Up
Cdh19	-1.9846	2.0566	None
Camk1d	-0.4661	1484.0114	None
Fam174c	-1.0727	16.3101	None
Paox	-1.4911	99.7975	Down
Fgfr1op2	-0.2221	510.7324	None
Vps16	0.0963	49.4604	None
Tmem189	0.1847	128.6234	None
Cyp2c50	-2.2831	4158.6369	Down
Zfp654	-0.1485	206.4085	None
Gstm5	0.7521	9.952	None
Pcp4l1	-5.114	214.2222	Down
Xaf1	0.0285	46.9553	None
Pdzk1ip1	0.8723	19.0203	None
Ankdd1b	0.273	13.5741	None
Leng8	-0.3093	1625.7411	None
Kcnk5	-0.0289	668.6878	None
Trmt10b	-0.1388	26.6641	None
Pea15a	1.321	444.8857	Up
Auh	-0.5878	96.3684	None
Gm11127	-0.0383	3.4768	None
Eif3d	-0.1052	154.6265	None
Gstp1	2.4113	242.8314	Up
Plekha8	-0.9296	342.5256	None
Tc2n	2.3311	88.4584	Up
Tax1bp3	1.27	176.425	Up
Anapc4	0.1366	54.3437	None
Slc9a7	0.5562	67.5933	None
Coa5	-0.2853	1406.0887	None
Gm5113	-0.7479	71.4303	None
Gch1	-0.5978	2747.1777	None
Cap2	6.9815	25.1521	Up
Themis	2.7365	33.7106	Up
Ap3b1	-0.0605	186.3503	None
Miga2	-0.6426	580.829	None
Rab39	0.5762	16.4003	None
Wdr44	0.7365	39.0389	None
Nanp	-0.9188	79.8355	None
Tnfrsf26	1.236	7.4623	None
Mplkip	-0.6232	123.2582	None
Dcxr	-1.4316	218.015	Down
Siae	0.5731	571.2277	None
Tchh	-0.1876	18.0003	None
Sumo2	-0.0185	202.3506	None
Cd52	0.9658	61.5656	None
Psmb9	-0.6263	65.6956	None
Mir3470b	-1.8304	2.0143	None
Plekha7	0.3989	71.9314	None
Lamb2	0.1022	51.1523	None
Ppip5k1	-0.1968	44.7823	None
Dpm2	-0.1397	134.3876	None
Ripk1	0.3252	406.113	None
Rab10	-0.0478	1340.1928	None
Nup160	-0.0696	35.2685	None
Zbtb25	0.7257	37.0968	None
Gp1ba	-1.1606	32.8981	None
Slc27a3	-1.0905	8.5658	None
Hhat	-0.9635	6.1715	None
Zfp637	0.1438	166.1029	None
Vamp2	-0.662	407.3636	None
Zfp54	0.009	33.1372	None
Tnfaip3	2.9771	187.9186	Up
Ppfia2	-1.6434	2.9885	None
Pqlc3	1.5642	24.2887	Up
Cog4	-0.6312	243.3845	None
Ptger4	1.7358	21.0904	Up
Gm2274	-0.3903	220.2345	None
Pigg	-0.1581	119.9542	None
Hoxb6	0.6899	1.9495	None
Gm10791	0.3335	5.3429	None
Unkl	-0.1096	266.2301	None
U2af2	-0.3239	265.0259	None
Ngb	-1.996	4.91	None
Fkbp10	2.2656	43.6442	Up
Bbs1	-0.105	23.4037	None
Endov	-0.0753	88.6187	None
Rfng	-0.0046	210.6587	None
Nipbl	0.0186	302.6965	None
Pappa	1.9763	3.7326	None
Senp6	0.1859	259.6842	None
Inhbb	2.2377	85.4563	Up
Rgs3	-1.0441	121.1524	Down
Gprin3	0.2668	88.4524	None
A530016L24Rik	-0.4657	3.2343	None
Micos10	-0.3552	93.5471	None
N4bp2l1	-1.9139	517.2582	Down
Eef1akmt4-ece2	0.2931	17.7812	None
Stard8	-0.7502	148.3656	None
Clptm1	-0.0503	666.3937	None
Rab36	-0.1498	97.4264	None
Mecp2	0.0052	375.2005	None
Nkapd1	-0.0646	226.5263	None
Cd247	0.1749	94.9603	None
Dnlz	0.1402	271.318	None
Ar	-4.8858	201.4301	Down
Smg9	0.1998	56.0962	None
Trf	1.1283	25925.5896	Up
Sprr2a1	1.6237	20.0638	None
Acvr2a	-0.6666	333.0436	None
Esrra	-0.3508	378.3874	None
Psmc4	0.0916	119.5345	None
Zfp623	-0.0533	210.4542	None
1700030K09Rik	-0.4198	43.936	None
Phf24	-0.0475	13.4063	None
Apol11b	-0.5796	1.7841	None
Reep1	0.2285	24.9096	None
Kdm1b	-0.0522	488.0451	None
Tmem47	-0.3102	115.6623	None
C530005A16Rik	-0.3718	62.3668	None
Ftl1	0.3511	21728.624	None
Doc2a	0.0561	72.8561	None
Pacs2	0.5694	350.4401	None
Phf21a	0.3949	315.6733	None
Mir22	0.1106	7.7386	None
Arrdc3	-0.5123	1536.8615	None
Mtmr12	0.1672	154.9682	None
Kit	-0.1559	98.1108	None
4933440J02Rik	-4.3716	1.6993	None
Frg2f1	-1.0216	76.0407	Down
Marcksl1	0.502	297.0185	None
Rps18	-0.4616	52.6436	None
Txndc17	0.1959	186.1403	None
Ptma	0.0001	1322.745	None
Prrg4	1.872	10.8835	None
Barx2	4.1925	1.853	None
Rab42	4.7468	2.7399	Up
Ankrd13c	-0.1815	439.967	None
Pxdn	0.5061	160.0007	None
Eif2b2	0.1382	71.1179	None
Cryzl2	-0.0258	160.3039	None
Mitd1	-0.0993	71.2942	None
Vps25	-0.2871	556.0265	None
Ppp2r3c	-0.2854	29.2172	None
Cad	0.4058	59.5376	None
4932438A13Rik	0.6424	169.8268	None
Rapgef2	0.51	260.1822	None
Helb	-0.6119	140.8847	None
Nedd4l	1.733	227.4262	Up
Gm14288	0.6273	16.008	None
H2-DMb1	1.4286	36.6189	Up
Akt1	-0.2225	548.5127	None
Tram1	-0.3012	1459.6838	None
Tmem154	1.5042	12.6668	None
Tgm4	0.7171	74.7062	None
Rwdd4a	-0.8507	201.7233	None
Cpb2	0.251	601.7631	None
Telo2	-0.0081	51.548	None
Shoc2	0.1577	409.7171	None
Cct5	0.0228	328.2604	None
Lman2l	-0.0146	168.6679	None
Stox1	-1.5688	2.9894	None
Hnrnpll	-0.1593	181.551	None
Tbx2	0.6196	84.6977	None
1810058I24Rik	-1.19	926.9278	Down
Trp53bp1	0.1574	308.7343	None
Atg16l2	1.0092	44.2863	None
Serpina1b	-0.9192	44920.2111	None
Ufc1	-0.0215	341.2539	None
Fbln1	0.2278	7.4125	None
Rprd1a	-0.4979	167.0068	None
Upf1	-0.4632	622.121	None
Gm13306	-1.5477	3.5753	None
Ube2z	0.3024	963.3607	None
Mocs2	-0.5735	416.7387	None
Nosip	0.2941	137.4038	None
Zfhx4	0.1167	296.8667	None
Zfp764	0.1826	38.5984	None
Fdx1	-0.3922	519.5598	None
Gapdh	0.7519	576.4048	None
Cnn2	0.6164	97.0073	None
Omd	5.7786	5.5955	Up
AU021092	-0.696	7.1822	None
Dipk2a	0.1553	633.3037	None
Mfap2	4.3938	4.3621	Up
Adamts7	1.669	107.5043	Up
AU015228	0.1938	41.6228	None
Arl14ep	-0.3513	173.5239	None
Txk	2.6553	5.2996	None
Tango6	-0.022	51.4339	None
9330020H09Rik	-0.5992	24.8489	None
Nrip1	0.9114	328.8422	None
Terf2ip	-0.191	215.0112	None
Slc10a7	-0.0023	105.9226	None
Chst8	0.8583	2.5503	None
Fbxo36	-0.8123	41.6528	None
Glyat	-0.8916	1188.8899	None
Bmerb1	-4.3358	1.6519	None
Rhobtb1	-0.405	695.7356	None
Adcy4	-0.7855	20.3564	None
Lancl2	0.1478	116.9274	None
Cry2	-0.5229	556.9404	None
Slc39a1	0.454	1254.5992	None
Iqsec2	0.1317	158.4552	None
Myh14	0.0864	120.4466	None
Mrpl10	-0.2211	514.3174	None
Cdr2l	0.9272	78.7329	None
Map4k5	0.1419	165.492	None
Rpgrip1	-0.2128	173.5793	None
Ttc39b	-0.9362	935.5082	None
Atraid	-0.5257	319.7056	None
Pprc1	-0.0794	179.6075	None
Tex264	-0.1722	594.0604	None
Osbpl7	1.0748	51.3625	Up
Zbtb4	0.6052	417.9477	None
Parp2	-0.0747	30.7361	None
H2al1m	-1.5181	2.1858	None
Pus10	-0.0364	203.1327	None
Bscl2	-0.1399	152.9917	None
Elp4	-0.2929	160.0846	None
Ubqln4	-0.5127	513.1266	None
Zmym2	0.1472	191.6963	None
Icam2	-0.2227	21.3952	None
Pcsk7	0.0147	255.4771	None
Mapkapk3	0.1873	78.8237	None
Nsun2	-0.4716	442.7821	None
Clptm1l	0.0917	610.3566	None
Nlrc4	0.4631	7.644	None
Msmo1	-0.4847	3325.0523	None
Prdx4	-0.2667	254.0373	None
Fis1	-0.5552	159.4079	None
Tmc5	7.5204	18.6673	Up
Tmem269	0.1671	5.7791	None
Tada3	0.0823	79.1797	None
Scube3	0.16	6.2376	None
Gabarapl1	-0.4385	4841.1942	None
Apc	-0.1182	602.5162	None
Csde1	-0.0579	1136.3766	None
Wfdc2	1.4157	6.1715	None
Mir6936	-0.3544	4.9502	None
Srsf2	-0.6573	1820.9381	None
Inpp5a	0.2354	254.8244	None
Syce2	-1.3343	73.8024	Down
Coro6	1.9456	5.2968	None
2010320M18Rik	-0.6412	83.8503	None
Gt(ROSA)26Sor	-0.9244	80.6831	None
Tecpr1	-0.0505	159.1566	None
Ttc41	-0.2555	32.857	None
Fbxw7	0.058	111.8285	None
Mmp2	2.8443	108.2727	Up
Cerkl	0.286	21.187	None
Ube2d3	-0.1484	2350.8467	None
Try5	0.3238	3.4923	None
Camsap2	0.0061	257.3077	None
Grsf1	-0.4912	832.7244	None
Psmg4	-0.0053	19.2841	None
Ankrd24	-0.5842	62.4537	None
Gpnmb	7.8986	47.5438	Up
Cuta	-0.3424	131.2448	None
Casp3	0.0635	371.1666	None
Gm10591	1.4533	13.267	None
Rpl7a	-0.8097	59.2003	None
Sf3a3	-0.1648	12.5334	None
Psen1	-0.0885	336.8591	None
Stard3	-0.3086	104.7107	None
Spata46	0.1771	3.2249	None
Sult2a1	-5.9212	89.6782	Down
BC029722	0.7738	366.4866	None
Sycn	1.867	4.073	None
Urgcp	-0.1904	459.408	None
Tmem175	-0.1277	215.4136	None
Rtp4	-0.2063	227.0442	None
Lilr4b	2.242	81.6434	Up
Cbr1	0.7184	1528.3446	None
Cetn2	-0.415	106.6476	None
Pik3r5	1.6696	34.583	Up
Psrc1	2.068	3.8429	None
Tmem267	0.1898	105.1908	None
Vkorc1l1	-0.1962	759.2892	None
Unc119	1.2249	78.9721	Up
Nradd	0.4197	12.288	None
Itgax	2.1875	21.826	Up
Pdgfb	1.658	46.9499	Up
Anks4b	-1.0382	797.9341	Down
Rdh16f2	-1.707	1803.7509	Down
Enox2	-0.3069	84.8161	None
C1rb	0.4322	120.9917	None
Rab18	-0.1833	1131.3756	None
Ankrd40	0.3732	597.8494	None
Kif24	0.7233	13.7334	None
Prmt1	-1.6215	8.0952	None
Fbxo34	0.7035	437.932	None
Zup1	0.0697	33.3041	None
Gm2027	0.3128	27.5373	None
Galc	0.3766	67.9692	None
Tbx1	1.7228	1.5651	None
Gars	0.7139	67.3736	None
Gpr183	-0.4221	8.0239	None
Usp36	-0.8964	241.4944	None
Sumf1	0.0218	379.102	None
Dhrs1	-0.3389	483.8662	None
Aig1	0.4306	138.3354	None
Mamdc2	0.4672	27.3022	None
Als2cl	1.1033	503.4849	Up
Gm5434	-0.0199	10.7554	None
Vxn	4.1403	10.4099	Up
Tfip11	0.073	217.756	None
Rpf2	0.6628	21.9961	None
Zc3h8	-1.9399	25.6838	Down
0610012G03Rik	-0.5894	584.3035	None
Anapc11	-0.1615	141.6784	None
Rps15a-ps4	0.3918	101.754	None
Luc7l2	-0.6564	2001.2648	None
Snord32a	-0.8545	4.629	None
Apobec3	2.4579	60.9173	Up
1810013L24Rik	-0.1391	488.2754	None
Rem2	1.9571	3.6908	None
Nudt4	0.8696	3798.8441	None
Cdadc1	-0.7791	371.4959	None
Itga10	-1.1783	17.3456	None
Tmem176b	1.3771	1164.6053	Up
Zmynd10	0.2555	4.1477	None
Slc35g1	0.5203	496.3715	None
Lzic	0.3277	45.8038	None
Wdr48	-0.1419	330.4079	None
Rps17	-0.3647	49.9364	None
Wnt9a	-0.4245	12.0015	None
Dusp13	-2.4238	1.9351	None
Sord	-1.0949	12248.9338	Down
Nutf2	-0.244	113.1826	None
Tm9sf2	-0.3677	1013.0083	None
Mb21d2	0.0702	300.9919	None
Serf1	0.0876	10.1481	None
2610528J11Rik	-0.4933	96.213	None
Leprotl1	1.1188	272.9043	Up
Arhgap35	0.112	1602.487	None
Safb2	-0.5238	386.5517	None
Impg2	-1.9049	50.0904	Down
Tfcp2	-0.322	84.2897	None
Ly75	-0.2169	57.2548	None
Elmsan1	0.9456	301.3796	None
Gm572	1.5558	1.4777	None
Gid4	-0.5156	537.0091	None
Zfp646	-0.1336	264.0078	None
Grhl1	2.3177	19.7914	Up
Elovl2	-0.3393	7692.4021	None
Hps3	0.1309	89.0918	None
0610039K10Rik	1.3617	10.4019	None
Tbc1d13	-0.1475	539.1154	None
Smc4	0.2183	42.7107	None
Tax1bp1	0.0608	729.4383	None
Ppt1	0.5825	472.4077	None
Bloc1s6os	-1.3185	1.5571	None
Ugdh	1.9023	2149.4486	Up
Taf4	-0.2822	160.0269	None
Rfxap	-0.3103	152.2178	None
Nipsnap1	-0.3263	1828.4601	None
Hexb	-0.0108	94.9989	None
Sorbs2	1.2691	751.2561	Up
Snord34	-1.9788	3.6355	None
Nckap1	0.0449	633.731	None
Ralgps1	0.8211	132.2031	None
Atp8a1	0.6976	111.3533	None
Kif21b	1.1215	109.9406	Up
Atg5	-0.6925	440.2104	None
Srp9	-0.3252	599.465	None
Pde7a	0.1711	121.3256	None
2610203C22Rik	0.9884	13.9783	None
Fam81a	-0.1127	30.083	None
AI504432	2.1875	8.1385	None
Gys2	-1.1824	297.7815	Down
Cfap44	5.8741	5.9738	Up
Car11	-1.2496	4.0693	None
Fundc2	0.4175	93.8113	None
Snx5	0.2544	294.4551	None
Pisd	0.1447	362.9884	None
Cherp	-0.2049	270.6334	None
Inpp5f	0.2278	377.7007	None
Troap	4.238	3.9172	Up
Emsy	0.2837	67.265	None
Ero1lb	-0.3938	535.2325	None
Ermard	-0.4771	81.8574	None
Dclk1	2.3094	7.6612	None
Mapk8ip3	0.2734	323.0412	None
Kifbp	-0.3511	151.1087	None
Klhl22	-0.3565	156.5446	None
Zfp955b	-0.2182	85.8771	None
Fam110a	1.3318	81.6915	Up
Dysf	0.3162	6.5599	None
Hspbp1	0.0253	77.9418	None
Babam1	-0.3812	190.628	None
Tsr2	0.0543	157.5536	None
Gm5141	0.3014	3.3832	None
Dsp	0.7695	1592.7245	None
Rbbp6	-0.3259	752.4098	None
Serpind1	-0.2207	6100.7939	None
Riok2	-0.9844	222.8663	None
Mir677	-0.9889	7.1534	None
Hivep1	0.1535	325.2035	None
Gm5524	-0.603	260.5773	None
Slc34a2	-2.3291	20.37	Down
Tbc1d12	0.2356	106.5149	None
Depdc7	-0.4897	115.3196	None
Scmh1	0.3406	91.6773	None
Rims3	1.1232	48.4837	Up
Ern1	0.0967	264.2161	None
Snord16a	1.0163	9.3662	None
Hoxaas2	0.3759	6.6776	None
Rae1	-0.2254	59.1223	None
Ppil6	0.1939	3.6468	None
Tnfaip6	3.7116	5.28	None
Sbsn	1.2401	11.5549	None
Nudt5	0.2542	69.7303	None
Cd200r1	1.0073	16.6005	None
Rps19bp1	-0.4373	90.538	None
Txndc15	-0.4499	611.6657	None
Zbtb7c	0.7294	21.0347	None
Coq10b	-1.5365	433.4416	Down
Cdkn1b	0.4446	385.7552	None
Dlat	0.0398	441.1308	None
Plpp3	-1.1002	2257.2984	Down
Mrps18a	-0.36	103.5677	None
Ddx59	-0.3688	35.4846	None
Gjb1	-0.4586	12045.9625	None
Llph	-0.7142	127.1463	None
Dnajb12	0.1917	635.5065	None
Usp28	0.0077	67.8763	None
Ndufa4	-0.4256	61.734	None
Cwc27	0.1759	22.9101	None
Gm2260	-0.3903	220.2345	None
2900009J06Rik	-0.7864	2.3886	None
Atp4a	2.0627	8.7429	None
Tal1	-1.0449	21.4546	None
Polg2	-0.4801	68.278	None
Scml4	0.203	3.5467	None
Gm6034	-2.3823	2.8511	None
Hsd17b11	-0.5268	1187.4726	None
AB124611	1.4216	66.5139	Up
Gamt	-1.1624	799.1337	Down
Spsb2	0.279	213.4591	None
Vegfd	-0.2333	21.223	None
Atpaf1	0.1477	99.0488	None
Depp1	0.9883	1109.5041	None
Cdk14	0.4316	32.224	None
Rpgrip1l	0.5688	44.2319	None
Mrpl35	-0.5654	142.3776	None
Abcb10	-0.5728	349.8122	None
Lpar2	0.8722	49.053	None
Mir7036	0.2477	10.7236	None
Ubr4	-0.1085	317.0828	None
Ipo7	-0.2595	587.6655	None
Tcaf2	1.342	18.3353	None
Tm4sf1	-0.5118	84.1887	None
Ahr	0.621	968.1254	None
St8sia1	0.8168	1.5151	None
Ep400	0.1266	430.2165	None
Tbx6	-0.9285	13.729	None
2610028H24Rik	-0.9243	10.5347	None
Wipi1	0.0261	78.6598	None
Rap1gap2	1.2811	26.5264	None
Hint1	-0.1845	429.6787	None
Snx10	0.5217	482.128	None
Hrg	-0.0525	9727.3571	None
Gnas	-0.0845	2113.7631	None
Herc3	1.0283	72.0095	Up
4732416N19Rik	-0.0162	5.9359	None
Oasl1	1.6804	264.0732	Up
Srbd1	-0.2436	95.8323	None
Slc16a1	0.6722	996.0136	None
Slc18a2	-0.388	27.8846	None
Gpr176	4.406	8.2611	Up
Hnrnpu	-0.2711	2151.3525	None
Pcdhga6	0.5143	269.7494	None
Cenpa	0.1337	38.7573	None
Cbx5	-0.059	602.8559	None
Ptprt	-3.1794	4.2509	None
Mitf	0.9632	66.5101	None
Slfn9	0.7664	42.7543	None
Mcm2	1.3366	45.9903	Up
Kat8	-0.7154	35.1555	None
Pcm1	-0.1295	148.6899	None
Rpl34-ps1	-1.2806	11.9594	None
Ttc30a2	-1.3601	3.1252	None
Acod1	3.645	5.0545	None
Caprin2	-0.8049	39.3446	None
Lrrc8e	2.5667	29.2698	Up
Supt16	-0.2138	267.8569	None
Sspn	0.3086	50.0212	None
Snhg3	1.7198	46.7323	Up
