Chrom	Start	End	Stain	Arm
chr1	234600000	236400000	gneg	q
chr1	236400000	243500000	gpos75	q
chr1	243500000	248956422	gneg	q
chr2	0	4400000	gneg	p
chr2	4400000	6900000	gpos50	p
chr2	6900000	12000000	gneg	p
chr2	12000000	16500000	gpos75	p
chr2	16500000	19000000	gneg	p
chr2	19000000	23800000	gpos75	p
chr2	23800000	27700000	gneg	p
chr2	27700000	29800000	gpos25	p
chr2	29800000	31800000	gneg	p
chr2	31800000	36300000	gpos75	p
chr2	36300000	38300000	gneg	p
chr2	38300000	41500000	gpos50	p
chr2	41500000	47500000	gneg	p
chr2	47500000	52600000	gpos100	p
chr2	52600000	54700000	gneg	p
chr2	54700000	61000000	gpos100	p
chr2	61000000	63900000	gneg	p
chr2	63900000	68400000	gpos50	p
chr2	68400000	71300000	gneg	p
chr2	71300000	73300000	gpos50	p
chr2	73300000	74800000	gneg	p
chr2	74800000	83100000	gpos100	p
chr2	83100000	91800000	gneg	p
chr2	91800000	93900000	acen	p
chr2	93900000	96000000	acen	q
chr2	96000000	102100000	gneg	q
chr2	102100000	105300000	gpos50	q
chr2	105300000	106700000	gneg	q
chr2	106700000	108700000	gpos25	q
chr2	108700000	112200000	gneg	q
chr2	112200000	118100000	gpos50	q
chr2	118100000	121600000	gneg	q
chr2	121600000	129100000	gpos50	q
chr2	129100000	131700000	gneg	q
chr2	131700000	134300000	gpos25	q
chr2	134300000	136100000	gneg	q
chr2	136100000	141500000	gpos100	q
chr2	141500000	143400000	gneg	q
chr2	143400000	147900000	gpos100	q
chr2	147900000	149000000	gneg	q
chr2	149000000	149600000	gpos25	q
chr2	149600000	154000000	gneg	q
chr2	154000000	158900000	gpos75	q
chr2	158900000	162900000	gneg	q
chr2	162900000	168900000	gpos75	q
chr2	168900000	177100000	gneg	q
chr2	177100000	179700000	gpos50	q
chr2	179700000	182100000	gneg	q
chr2	182100000	188500000	gpos75	q
chr2	188500000	191100000	gneg	q
chr2	191100000	196600000	gpos75	q
chr2	196600000	202500000	gneg	q
chr2	202500000	204100000	gpos50	q
chr2	204100000	208200000	gneg	q
chr2	208200000	214500000	gpos100	q
chr2	214500000	220700000	gneg	q
chr2	220700000	224300000	gpos75	q
chr2	224300000	225200000	gneg	q
chr2	225200000	230100000	gpos100	q
chr2	230100000	234700000	gneg	q
chr2	234700000	236400000	gpos50	q
chr2	236400000	242193529	gneg	q
chr3	0	2800000	gpos50	p
chr3	2800000	4000000	gneg	p
chr3	4000000	8100000	gpos50	p
chr3	8100000	11600000	gneg	p
chr3	11600000	13200000	gpos25	p
chr3	13200000	16300000	gneg	p
chr3	16300000	23800000	gpos100	p
chr3	23800000	26300000	gneg	p
chr3	26300000	30800000	gpos75	p
chr3	30800000	32000000	gneg	p
chr3	32000000	36400000	gpos50	p
chr3	36400000	39300000	gneg	p
chr3	39300000	43600000	gpos75	p
chr3	43600000	44100000	gneg	p
chr3	44100000	44200000	gpos50	p
chr3	44200000	50600000	gneg	p
chr3	50600000	52300000	gpos25	p
chr3	52300000	54400000	gneg	p
chr3	54400000	58600000	gpos50	p
chr3	58600000	63800000	gneg	p
chr3	63800000	69700000	gpos50	p
chr3	69700000	74100000	gneg	p
chr3	74100000	79800000	gpos75	p
chr3	79800000	83500000	gneg	p
chr3	83500000	87100000	gpos75	p
chr3	87100000	87800000	gneg	p
chr3	87800000	90900000	acen	p
chr3	90900000	94000000	acen	q
chr3	94000000	98600000	gvar	q
chr3	98600000	100300000	gneg	q
chr3	100300000	101200000	gpos25	q
chr3	101200000	103100000	gneg	q
chr3	103100000	106500000	gpos75	q
chr3	106500000	108200000	gneg	q
chr3	108200000	111600000	gpos50	q
chr3	111600000	113700000	gneg	q
chr3	113700000	117600000	gpos75	q
chr3	117600000	119300000	gneg	q
chr3	119300000	122200000	gpos75	q
chr3	122200000	124100000	gneg	q
chr3	124100000	126100000	gpos25	q
chr3	126100000	129500000	gneg	q
chr3	129500000	134000000	gpos25	q
chr3	134000000	136000000	gneg	q
chr3	136000000	139000000	gpos25	q
chr3	139000000	143100000	gneg	q
chr3	143100000	149200000	gpos100	q
chr3	149200000	152300000	gneg	q
chr3	152300000	155300000	gpos50	q
chr3	155300000	157300000	gneg	q
chr3	157300000	159300000	gpos50	q
chr3	159300000	161000000	gneg	q
chr3	161000000	167900000	gpos100	q
chr3	167900000	171200000	gneg	q
chr3	171200000	176000000	gpos75	q
chr3	176000000	179300000	gneg	q
chr3	179300000	183000000	gpos75	q
chr3	183000000	184800000	gneg	q
chr3	184800000	186300000	gpos25	q
chr3	186300000	188200000	gneg	q
chr3	188200000	192600000	gpos75	q
chr3	192600000	198295559	gneg	q
chr4	0	4500000	gneg	p
chr4	4500000	6000000	gpos25	p
chr4	6000000	11300000	gneg	p
chr4	11300000	15000000	gpos50	p
chr4	15000000	17700000	gneg	p
chr4	17700000	21300000	gpos75	p
chr4	21300000	27700000	gneg	p
chr4	27700000	35800000	gpos100	p
chr4	35800000	41200000	gneg	p
chr4	41200000	44600000	gpos50	p
chr4	44600000	48200000	gneg	p
chr4	48200000	50000000	acen	p
chr4	50000000	51800000	acen	q
chr4	51800000	58500000	gneg	q
chr4	58500000	65500000	gpos100	q
chr4	65500000	69400000	gneg	q
chr4	69400000	75300000	gpos75	q
chr4	75300000	78000000	gneg	q
chr4	78000000	81500000	gpos50	q
chr4	81500000	83200000	gneg	q
chr4	83200000	86000000	gpos25	q
chr4	86000000	87100000	gneg	q
chr4	87100000	92800000	gpos75	q
chr4	92800000	94200000	gneg	q
chr4	94200000	97900000	gpos75	q
chr4	97900000	100100000	gneg	q
chr4	100100000	106700000	gpos50	q
chr4	106700000	113200000	gneg	q
chr4	113200000	119900000	gpos75	q
chr4	119900000	122800000	gneg	q
chr4	122800000	127900000	gpos50	q
chr4	127900000	130100000	gneg	q
chr4	130100000	138500000	gpos100	q
chr4	138500000	140600000	gneg	q
chr4	140600000	145900000	gpos25	q
chr4	145900000	147500000	gneg	q
chr4	147500000	150200000	gpos25	q
chr4	150200000	154600000	gneg	q
chr4	154600000	160800000	gpos100	q
chr4	160800000	163600000	gneg	q
chr4	163600000	169200000	gpos100	q
chr4	169200000	171000000	gneg	q
chr4	171000000	175400000	gpos75	q
chr4	175400000	176600000	gneg	q
chr4	176600000	182300000	gpos100	q
chr4	182300000	186200000	gneg	q
chr4	186200000	190214555	gpos25	q
chr5	0	4400000	gneg	p
chr5	4400000	6300000	gpos25	p
chr5	6300000	9900000	gneg	p
chr5	9900000	15000000	gpos50	p
chr5	15000000	18400000	gneg	p
chr5	18400000	23300000	gpos100	p
chr5	23300000	24600000	gneg	p
chr5	24600000	28900000	gpos100	p
chr5	28900000	33800000	gneg	p
chr5	33800000	38400000	gpos25	p
chr5	38400000	42500000	gneg	p
chr5	42500000	46100000	gpos50	p
chr5	46100000	48800000	acen	p
chr5	48800000	51400000	acen	q
chr5	51400000	59600000	gneg	q
chr5	59600000	63600000	gpos75	q
chr5	63600000	63900000	gneg	q
chr5	63900000	67400000	gpos75	q
chr5	67400000	69100000	gneg	q
chr5	69100000	74000000	gpos50	q
chr5	74000000	77600000	gneg	q
chr5	77600000	82100000	gpos50	q
chr5	82100000	83500000	gneg	q
chr5	83500000	93000000	gpos100	q
chr5	93000000	98900000	gneg	q
chr5	98900000	103400000	gpos100	q
chr5	103400000	105100000	gneg	q
chr5	105100000	110200000	gpos100	q
chr5	110200000	112200000	gneg	q
chr5	112200000	113800000	gpos50	q
chr5	113800000	115900000	gneg	q
chr5	115900000	122100000	gpos100	q
chr5	122100000	127900000	gneg	q
chr5	127900000	131200000	gpos100	q
chr5	131200000	136900000	gneg	q
chr5	136900000	140100000	gpos25	q
chr5	140100000	145100000	gneg	q
chr5	145100000	150400000	gpos75	q
chr5	150400000	153300000	gneg	q
chr5	153300000	156300000	gpos50	q
chr5	156300000	160500000	gneg	q
chr5	160500000	169000000	gpos100	q
chr5	169000000	173300000	gneg	q
chr5	173300000	177100000	gpos25	q
chr5	177100000	181538259	gneg	q
chr6	0	2300000	gneg	p
chr6	2300000	4200000	gpos25	p
chr6	4200000	7100000	gneg	p
chr6	7100000	10600000	gpos50	p
chr6	10600000	11600000	gneg	p
chr6	11600000	13400000	gpos25	p
chr6	13400000	15200000	gneg	p
chr6	15200000	25200000	gpos75	p
chr6	25200000	27100000	gneg	p
chr6	27100000	30500000	gpos50	p
chr6	30500000	32100000	gneg	p
chr6	32100000	33500000	gpos25	p
chr6	33500000	36600000	gneg	p
chr6	36600000	40500000	gpos25	p
chr6	40500000	46200000	gneg	p
chr6	46200000	51800000	gpos100	p
chr6	51800000	53000000	gneg	p
chr6	53000000	57200000	gpos100	p
chr6	57200000	58500000	gneg	p
chr6	58500000	59800000	acen	p
chr6	59800000	62600000	acen	q
chr6	62600000	62700000	gneg	q
chr6	62700000	69200000	gpos100	q
chr6	69200000	75200000	gneg	q
chr6	75200000	83200000	gpos50	q
chr6	83200000	84200000	gneg	q
chr6	84200000	87300000	gpos50	q
chr6	87300000	92500000	gneg	q
chr6	92500000	98900000	gpos100	q
chr6	98900000	100000000	gneg	q
chr6	100000000	105000000	gpos100	q
chr6	105000000	114200000	gneg	q
chr6	114200000	117900000	gpos75	q
chr6	117900000	118100000	gneg	q
chr6	118100000	125800000	gpos100	q
chr6	125800000	126800000	gneg	q
chr6	126800000	130000000	gpos75	q
chr6	130000000	130900000	gneg	q
chr6	130900000	134700000	gpos50	q
chr6	134700000	138300000	gneg	q
chr6	138300000	142200000	gpos75	q
chr6	142200000	145100000	gneg	q
chr6	145100000	148500000	gpos75	q
chr6	148500000	152100000	gneg	q
chr6	152100000	155200000	gpos50	q
chr6	155200000	160600000	gneg	q
chr6	160600000	164100000	gpos50	q
chr6	164100000	170805979	gneg	q
chr7	0	2800000	gneg	p
chr7	2800000	4500000	gpos25	p
chr7	4500000	7200000	gneg	p
chr7	7200000	13700000	gpos100	p
chr7	13700000	16500000	gneg	p
chr7	16500000	20900000	gpos100	p
chr7	20900000	25500000	gneg	p
chr7	25500000	27900000	gpos50	p
chr7	27900000	28800000	gneg	p
chr7	28800000	34900000	gpos75	p
chr7	34900000	37100000	gneg	p
chr7	37100000	43300000	gpos75	p
chr7	43300000	45400000	gneg	p
chr7	45400000	49000000	gpos75	p
chr7	49000000	50500000	gneg	p
chr7	50500000	53900000	gpos75	p
chr7	53900000	58100000	gneg	p
chr7	58100000	60100000	acen	p
chr7	60100000	62100000	acen	q
chr7	62100000	67500000	gneg	q
chr7	67500000	72700000	gpos50	q
chr7	72700000	77900000	gneg	q
chr7	77900000	86700000	gpos100	q
chr7	86700000	88500000	gneg	q
chr7	88500000	91500000	gpos75	q
chr7	91500000	93300000	gneg	q
chr7	93300000	98400000	gpos75	q
chr7	98400000	104200000	gneg	q
chr7	104200000	104900000	gpos50	q
chr7	104900000	107800000	gneg	q
chr7	107800000	115000000	gpos75	q
chr7	115000000	117700000	gneg	q
chr7	117700000	121400000	gpos75	q
chr7	121400000	124100000	gneg	q
chr7	124100000	127500000	gpos75	q
chr7	127500000	129600000	gneg	q
chr7	129600000	130800000	gpos25	q
chr7	130800000	132900000	gneg	q
chr7	132900000	138500000	gpos50	q
chr7	138500000	143400000	gneg	q
chr7	143400000	148200000	gpos75	q
chr7	148200000	152800000	gneg	q
chr7	152800000	155200000	gpos25	q
chr7	155200000	159345973	gneg	q
chr8	0	2300000	gneg	p
chr8	2300000	6300000	gpos75	p
chr8	6300000	12800000	gneg	p
chr8	12800000	19200000	gpos100	p
chr8	19200000	23500000	gneg	p
chr8	23500000	27500000	gpos50	p
chr8	27500000	29000000	gneg	p
chr8	29000000	36700000	gpos75	p
chr8	36700000	38500000	gneg	p
chr8	38500000	39900000	gpos25	p
chr8	39900000	43200000	gneg	p
chr8	43200000	45200000	acen	p
chr8	45200000	47200000	acen	q
chr8	47200000	51300000	gneg	q
chr8	51300000	51700000	gpos75	q
chr8	51700000	54600000	gneg	q
chr8	54600000	60600000	gpos50	q
chr8	60600000	61300000	gneg	q
chr8	61300000	65100000	gpos50	q
chr8	65100000	67100000	gneg	q
chr8	67100000	69600000	gpos50	q
chr8	69600000	72000000	gneg	q
chr8	72000000	74600000	gpos100	q
chr8	74600000	74700000	gneg	q
chr8	74700000	83500000	gpos75	q
chr8	83500000	85900000	gneg	q
chr8	85900000	92300000	gpos100	q
chr8	92300000	97900000	gneg	q
chr8	97900000	100500000	gpos25	q
chr8	100500000	105100000	gneg	q
chr8	105100000	109500000	gpos75	q
chr8	109500000	111100000	gneg	q
chr8	111100000	116700000	gpos100	q
chr8	116700000	118300000	gneg	q
chr8	118300000	121500000	gpos50	q
chr8	121500000	126300000	gneg	q
chr8	126300000	130400000	gpos50	q
chr8	130400000	135400000	gneg	q
chr8	135400000	138900000	gpos75	q
chr8	138900000	145138636	gneg	q
chr9	0	2200000	gneg	p
chr9	2200000	4600000	gpos25	p
chr9	4600000	9000000	gneg	p
chr9	9000000	14200000	gpos75	p
chr9	14200000	16600000	gneg	p
chr9	16600000	18500000	gpos25	p
chr9	18500000	19900000	gneg	p
chr9	19900000	25600000	gpos100	p
chr9	25600000	28000000	gneg	p
chr9	28000000	33200000	gpos100	p
chr9	33200000	36300000	gneg	p
chr9	36300000	37900000	gpos25	p
chr9	37900000	39000000	gneg	p
chr9	39000000	40000000	gpos50	p
chr9	40000000	42200000	gneg	p
chr9	42200000	43000000	acen	p
chr9	43000000	45500000	acen	q
chr9	45500000	61500000	gvar	q
chr9	61500000	65000000	gneg	q
chr9	65000000	69300000	gpos25	q
chr9	69300000	71300000	gneg	q
chr9	71300000	76600000	gpos50	q
chr9	76600000	78500000	gneg	q
chr9	78500000	81500000	gpos50	q
chr9	81500000	84300000	gneg	q
chr9	84300000	87800000	gpos50	q
chr9	87800000	89200000	gneg	q
chr9	89200000	91200000	gpos25	q
chr9	91200000	93900000	gneg	q
chr9	93900000	96500000	gpos25	q
chr9	96500000	99800000	gneg	q
chr9	99800000	105400000	gpos100	q
chr9	105400000	108500000	gneg	q
chr9	108500000	112100000	gpos25	q
chr9	112100000	114900000	gneg	q
chr9	114900000	119800000	gpos75	q
chr9	119800000	123100000	gneg	q
chr9	123100000	127500000	gpos25	q
chr9	127500000	130600000	gneg	q
chr9	130600000	131100000	gpos25	q
chr9	131100000	133100000	gneg	q
chr9	133100000	134500000	gpos25	q
chr9	134500000	138394717	gneg	q
chrX	0	4400000	gneg	p
chrX	4400000	6100000	gpos50	p
chrX	6100000	9600000	gneg	p
chrX	9600000	17400000	gpos50	p
chrX	17400000	19200000	gneg	p
chrX	19200000	21900000	gpos50	p
chrX	21900000	24900000	gneg	p
chrX	24900000	29300000	gpos100	p
chrX	29300000	31500000	gneg	p
chrX	31500000	37800000	gpos100	p
chrX	37800000	42500000	gneg	p
chrX	42500000	47600000	gpos75	p
chrX	47600000	50100000	gneg	p
chrX	50100000	54800000	gpos25	p
chrX	54800000	58100000	gneg	p
chrX	58100000	61000000	acen	p
chrX	61000000	63800000	acen	q
chrX	63800000	65400000	gneg	q
chrX	65400000	68500000	gpos50	q
chrX	68500000	73000000	gneg	q
chrX	73000000	74700000	gpos50	q
chrX	74700000	76800000	gneg	q
chrX	76800000	85400000	gpos100	q
chrX	85400000	87000000	gneg	q
chrX	87000000	92700000	gpos100	q
chrX	92700000	94300000	gneg	q
chrX	94300000	99100000	gpos75	q
chrX	99100000	103300000	gneg	q
chrX	103300000	104500000	gpos50	q
chrX	104500000	109400000	gneg	q
chrX	109400000	117400000	gpos75	q
chrX	117400000	121800000	gneg	q
chrX	121800000	129500000	gpos100	q
chrX	129500000	131300000	gneg	q
chrX	131300000	134500000	gpos25	q
chrX	134500000	138900000	gneg	q
chrX	138900000	141200000	gpos75	q
chrX	141200000	143000000	gneg	q
chrX	143000000	148000000	gpos100	q
chrX	148000000	156040895	gneg	q
chrY	0	300000	gneg	p
chrY	300000	600000	gpos50	p
chrY	600000	10300000	gneg	p
chrY	10300000	10400000	acen	p
chrY	10400000	10600000	acen	q
chrY	10600000	12400000	gneg	q
chrY	12400000	17100000	gpos50	q
chrY	17100000	19600000	gneg	q
chrY	19600000	23800000	gpos50	q
chrY	23800000	26600000	gneg	q
chrY	26600000	57227415	gvar	q
chr10	0	3000000	gneg	p
chr10	3000000	3800000	gpos25	p
chr10	3800000	6600000	gneg	p
chr10	6600000	12200000	gpos75	p
chr10	12200000	17300000	gneg	p
chr10	17300000	18300000	gpos75	p
chr10	18300000	18400000	gneg	p
chr10	18400000	22300000	gpos75	p
chr10	22300000	24300000	gneg	p
chr10	24300000	29300000	gpos50	p
chr10	29300000	31100000	gneg	p
chr10	31100000	34200000	gpos25	p
chr10	34200000	38000000	gneg	p
chr10	38000000	39800000	acen	p
chr10	39800000	41600000	acen	q
chr10	41600000	45500000	gneg	q
chr10	45500000	48600000	gpos25	q
chr10	48600000	51100000	gneg	q
chr10	51100000	59400000	gpos100	q
chr10	59400000	62800000	gneg	q
chr10	62800000	68800000	gpos100	q
chr10	68800000	73100000	gneg	q
chr10	73100000	75900000	gpos50	q
chr10	75900000	80300000	gneg	q
chr10	80300000	86100000	gpos100	q
chr10	86100000	87700000	gneg	q
chr10	87700000	91100000	gpos75	q
chr10	91100000	92300000	gneg	q
chr10	92300000	95300000	gpos50	q
chr10	95300000	97500000	gneg	q
chr10	97500000	100100000	gpos50	q
chr10	100100000	101200000	gneg	q
chr10	101200000	103100000	gpos25	q
chr10	103100000	104000000	gneg	q
chr10	104000000	110100000	gpos100	q
chr10	110100000	113100000	gneg	q
chr10	113100000	117300000	gpos75	q
chr10	117300000	119900000	gneg	q
chr10	119900000	121400000	gpos50	q
chr10	121400000	125700000	gneg	q
chr10	125700000	128800000	gpos50	q
chr10	128800000	133797422	gneg	q
chr11	0	2800000	gneg	p
chr11	2800000	11700000	gpos50	p
chr11	11700000	13800000	gneg	p
chr11	13800000	16900000	gpos50	p
chr11	16900000	22000000	gneg	p
chr11	22000000	26200000	gpos100	p
chr11	26200000	27200000	gneg	p
chr11	27200000	31000000	gpos75	p
chr11	31000000	36400000	gneg	p
chr11	36400000	43400000	gpos100	p
chr11	43400000	48800000	gneg	p
chr11	48800000	51000000	gpos75	p
chr11	51000000	53400000	acen	p
chr11	53400000	55800000	acen	q
chr11	55800000	60100000	gpos75	q
chr11	60100000	61900000	gneg	q
chr11	61900000	63600000	gpos25	q
chr11	63600000	66100000	gneg	q
chr11	66100000	68700000	gpos25	q
chr11	68700000	70500000	gneg	q
chr11	70500000	75500000	gpos50	q
chr11	75500000	77400000	gneg	q
chr11	77400000	85900000	gpos100	q
chr11	85900000	88600000	gneg	q
chr11	88600000	93000000	gpos100	q
chr11	93000000	97400000	gneg	q
chr11	97400000	102300000	gpos100	q
chr11	102300000	103000000	gneg	q
chr11	103000000	110600000	gpos100	q
chr11	110600000	112700000	gneg	q
chr11	112700000	114600000	gpos50	q
chr11	114600000	121300000	gneg	q
chr11	121300000	124000000	gpos50	q
chr11	124000000	127900000	gneg	q
chr11	127900000	130900000	gpos50	q
chr11	130900000	135086622	gneg	q
chr12	0	3200000	gneg	p
chr12	3200000	5300000	gpos25	p
chr12	5300000	10000000	gneg	p
chr12	10000000	12600000	gpos75	p
chr12	12600000	14600000	gneg	p
chr12	14600000	19800000	gpos100	p
chr12	19800000	21100000	gneg	p
chr12	21100000	26300000	gpos100	p
chr12	26300000	27600000	gneg	p
chr12	27600000	30500000	gpos50	p
chr12	30500000	33200000	gneg	p
chr12	33200000	35500000	acen	p
chr12	35500000	37800000	acen	q
chr12	37800000	46000000	gpos100	q
chr12	46000000	48700000	gneg	q
chr12	48700000	51100000	gpos25	q
chr12	51100000	54500000	gneg	q
chr12	54500000	56200000	gpos25	q
chr12	56200000	57700000	gneg	q
chr12	57700000	62700000	gpos75	q
chr12	62700000	64700000	gneg	q
chr12	64700000	67300000	gpos50	q
chr12	67300000	71100000	gneg	q
chr12	71100000	75300000	gpos75	q
chr12	75300000	79900000	gneg	q
chr12	79900000	86300000	gpos100	q
chr12	86300000	88600000	gneg	q
chr12	88600000	92200000	gpos100	q
chr12	92200000	95800000	gneg	q
chr12	95800000	101200000	gpos75	q
chr12	101200000	103500000	gneg	q
chr12	103500000	108600000	gpos50	q
chr12	108600000	111300000	gneg	q
chr12	111300000	111900000	gpos25	q
chr12	111900000	113900000	gneg	q
chr12	113900000	116400000	gpos50	q
chr12	116400000	117700000	gneg	q
chr12	117700000	120300000	gpos50	q
chr12	120300000	125400000	gneg	q
chr12	125400000	128700000	gpos50	q
chr12	128700000	133275309	gneg	q
chr13	0	4600000	gvar	p
chr13	4600000	10100000	stalk	p
chr13	10100000	16500000	gvar	p
chr13	16500000	17700000	acen	p
chr13	17700000	18900000	acen	q
chr13	18900000	22600000	gneg	q
chr13	22600000	24900000	gpos25	q
chr13	24900000	27200000	gneg	q
chr13	27200000	28300000	gpos25	q
chr13	28300000	31600000	gneg	q
chr13	31600000	33400000	gpos50	q
chr13	33400000	34900000	gneg	q
chr13	34900000	39500000	gpos75	q
chr13	39500000	44600000	gneg	q
chr13	44600000	45200000	gpos25	q
chr13	45200000	46700000	gneg	q
chr13	46700000	50300000	gpos50	q
chr13	50300000	54700000	gneg	q
chr13	54700000	59000000	gpos100	q
chr13	59000000	61800000	gneg	q
chr13	61800000	65200000	gpos75	q
chr13	65200000	68100000	gneg	q
chr13	68100000	72800000	gpos100	q
chr13	72800000	74900000	gneg	q
chr13	74900000	76700000	gpos50	q
chr13	76700000	78500000	gneg	q
chr13	78500000	87100000	gpos100	q
chr13	87100000	89400000	gneg	q
chr13	89400000	94400000	gpos100	q
chr13	94400000	97500000	gneg	q
chr13	97500000	98700000	gpos25	q
chr13	98700000	101100000	gneg	q
chr13	101100000	104200000	gpos100	q
chr13	104200000	106400000	gneg	q
chr13	106400000	109600000	gpos100	q
chr13	109600000	114364328	gneg	q
chr14	0	3600000	gvar	p
chr14	3600000	8000000	stalk	p
chr14	8000000	16100000	gvar	p
chr14	16100000	17200000	acen	p
chr14	17200000	18200000	acen	q
chr14	18200000	24100000	gneg	q
chr14	24100000	32900000	gpos100	q
chr14	32900000	34800000	gneg	q
chr14	34800000	36100000	gpos50	q
chr14	36100000	37400000	gneg	q
chr14	37400000	43000000	gpos100	q
chr14	43000000	46700000	gneg	q
chr14	46700000	50400000	gpos100	q
chr14	50400000	53600000	gneg	q
chr14	53600000	55000000	gpos25	q
chr14	55000000	57600000	gneg	q
chr14	57600000	61600000	gpos75	q
chr14	61600000	64300000	gneg	q
chr14	64300000	67400000	gpos50	q
chr14	67400000	69800000	gneg	q
chr14	69800000	73300000	gpos50	q
chr14	73300000	78800000	gneg	q
chr14	78800000	83100000	gpos100	q
chr14	83100000	84400000	gneg	q
chr14	84400000	89300000	gpos100	q
chr14	89300000	91400000	gneg	q
chr14	91400000	94200000	gpos25	q
chr14	94200000	95800000	gneg	q
chr14	95800000	100900000	gpos50	q
chr14	100900000	102700000	gneg	q
chr14	102700000	103500000	gpos50	q
chr14	103500000	107043718	gneg	q
chr15	0	4200000	gvar	p
chr15	4200000	9700000	stalk	p
chr15	9700000	17500000	gvar	p
chr15	17500000	19000000	acen	p
chr15	19000000	20500000	acen	q
chr15	20500000	25500000	gneg	q
chr15	25500000	27800000	gpos50	q
chr15	27800000	30000000	gneg	q
chr15	30000000	30900000	gpos50	q
chr15	30900000	33400000	gneg	q
chr15	33400000	39800000	gpos75	q
chr15	39800000	42500000	gneg	q
chr15	42500000	43300000	gpos25	q
chr15	43300000	44500000	gneg	q
chr15	44500000	49200000	gpos75	q
chr15	49200000	52600000	gneg	q
chr15	52600000	58800000	gpos75	q
chr15	58800000	59000000	gneg	q
chr15	59000000	63400000	gpos25	q
chr15	63400000	66900000	gneg	q
chr15	66900000	67000000	gpos25	q
chr15	67000000	67200000	gneg	q
chr15	67200000	72400000	gpos25	q
chr15	72400000	74900000	gneg	q
chr15	74900000	76300000	gpos25	q
chr15	76300000	78000000	gneg	q
chr15	78000000	81400000	gpos50	q
chr15	81400000	84700000	gneg	q
chr15	84700000	88500000	gpos50	q
chr15	88500000	93800000	gneg	q
chr15	93800000	98000000	gpos50	q
chr15	98000000	101991189	gneg	q
chr16	0	7800000	gneg	p
chr16	7800000	10400000	gpos50	p
chr16	10400000	12500000	gneg	p
chr16	12500000	14700000	gpos50	p
chr16	14700000	16700000	gneg	p
chr16	16700000	21200000	gpos50	p
chr16	21200000	24200000	gneg	p
chr16	24200000	28500000	gpos50	p
chr16	28500000	35300000	gneg	p
chr16	35300000	36800000	acen	p
chr16	36800000	38400000	acen	q
chr16	38400000	47000000	gvar	q
chr16	47000000	52600000	gneg	q
chr16	52600000	56000000	gpos50	q
chr16	56000000	57300000	gneg	q
chr16	57300000	66600000	gpos100	q
chr16	66600000	70800000	gneg	q
chr16	70800000	72800000	gpos50	q
chr16	72800000	74100000	gneg	q
chr16	74100000	79200000	gpos75	q
chr16	79200000	81600000	gneg	q
chr16	81600000	84100000	gpos50	q
chr16	84100000	87000000	gneg	q
chr16	87000000	88700000	gpos25	q
chr16	88700000	90338345	gneg	q
chr17	0	3400000	gneg	p
chr17	3400000	6500000	gpos50	p
chr17	6500000	10800000	gneg	p
chr17	10800000	16100000	gpos75	p
chr17	16100000	22700000	gneg	p
chr17	22700000	25100000	acen	p
chr17	25100000	27400000	acen	q
chr17	27400000	33500000	gneg	q
chr17	33500000	39800000	gpos50	q
chr17	39800000	40200000	gneg	q
chr17	40200000	42800000	gpos25	q
chr17	42800000	46800000	gneg	q
