symbol	KO	OE	group
UBE3B	-0.1069	-0.0368	None
RP1L1	0.6646	2.8719	None
APTX	-0.1314	-0.0194	None
ABHD15	-0.2771	0.1094	None
TMEM120A	-0.0826	-0.5761	None
CNBD2	1.3199	-1.0391	None
AL731563.3	-0.3218	1.281	None
SPCS2	-0.1103	-0.5087	None
GCC2	0.2756	-0.7239	None
CCSAP	0.4662	-0.4422	None
AL157884.2	0.2847	2.7059	None
EFNB1	0.3113	-0.7187	None
USO1	-0.0161	-0.9921	None
MAPK6	0.1329	-1.2981	None
TMEM50B	0.0035	-0.2531	None
SLC25A21-AS1	-2.1374	0.3292	None
MAN1C1	0.0949	0.1613	None
AGL	-0.2221	0.0468	None
PCOLCE-AS1	0.3959	1.557	None
AP000769.1	-0.0378	0.6735	None
EIF5	0.4169	-0.3689	None
RPS7P11	0.089	-0.4785	None
YY1AP1	0.2806	-0.7954	None
RPN1	0.1403	-0.3388	None
ELN-AS1	-1.2043	-0.2525	None
CERS4	-0.0745	0.0664	None
SEC14L1	0.2138	-1.0001	None
AC090360.1	0.592	0.2475	None
AC120498.8	-0.7929	1.9772	None
WNT4	0.1257	-0.8411	None
KLHL24	0.2168	-0.3674	None
MBLAC1	0.6982	0.8006	None
MFNG	0.3636	0.289	None
AL390208.1	0.6066	1.4254	None
TMPO-AS1	-0.4445	1.8982	None
EP400P1	-0.1083	1.9418	None
C9orf139	0.5294	1.6798	None
LIX1	-1.6304	-0.4135	None
AL049844.2	-0.1394	1.7885	None
AC145212.1	-0.3265	-1.1028	None
SPATA21	-0.1627	-0.4572	None
EPS8L2	-0.0229	-0.2043	None
TELO2	-0.1616	0.7977	None
MYH7B	-0.3532	2.4014	None
GPI	0.6066	-0.4177	None
PRSS23	0.5724	-0.1152	None
SIAH2	-0.0172	-0.8247	None
KATNBL1P3	-0.0046	0.6218	None
SMG1P2	0.1726	-0.0288	None
TSPAN3	0.1741	0.663	None
PLPBP	0.1302	-0.7715	None
UNC5A	0.3947	-0.3154	None
AC090673.1	-0.5263	2.1475	None
AL021707.6	-0.1463	5.2762	None
ZCCHC2	0.1461	-0.38	None
CEACAMP5	1.0237	-0.5745	None
LINC00337	0.2631	-0.0722	None
LYPLA2P1	-0.7153	-1.0308	None
TNFRSF9	0.7268	-3.2414	None
TBX3	0.0049	-1.2459	None
AL589740.1	-0.3816	-4.5133	None
RPS3AP6	0.0177	-0.7022	None
BCAT1	-1.0778	-1.0047	None
CAMK2A	2.0323	0.637	None
AC104825.1	0.1384	1.2585	None
PDP2	-0.4423	-0.6742	None
AC015961.2	-0.9228	3.6249	None
TDP1	0.042	-0.3308	None
HSPA8P11	0.9162	-0.9833	None
PEMT	-0.1066	-0.0266	None
NOS3	0.0343	-1.1982	None
AC007014.2	0.0772	0.9814	None
CACNB2	-0.1098	2.0129	None
MFF	-0.0128	0.3186	None
SLC4A1AP	0.0602	-0.0541	None
RASGEF1B	0.0194	0.718	None
FAM86HP	-0.5676	0.9615	None
CCDC92	-0.0882	-0.0182	None
MIR4322	0.122	2.9438	None
BBS9	0.1628	-0.0472	None
MRFAP1L1	-0.2095	0.5805	None
AC009950.1	-0.7558	1.0865	None
AC026403.1	-0.0836	0.2963	None
EEF1A1P3	1.6256	0.9549	None
UBQLN1	0.127	-0.5435	None
EVA1C	-0.1653	0.5669	None
CTBS	0.0299	-0.3093	None
ARF4P2	0.0772	-0.948	None
GTPBP2	0.1883	-0.4281	None
TFAMP1	-1.2	2.1916	None
FOXJ3	0.0962	0.1397	None
AL365217.1	-1.0838	-0.4197	None
ROBO4	0.6883	-0.0047	None
NODAL	-1.1219	2.5399	None
PALD1	-0.0733	-0.1568	None
AC092535.4	2.1177	1.4693	None
FBXO38	0.0942	0.1838	None
AC022098.1	-0.3931	1.4512	None
CA11	-0.2306	0.0754	None
CUTALP	-0.2854	-0.0792	None
RB1CC1	0.28	-0.7377	None
ATP5F1C	-0.0542	-0.1437	None
AC253536.7	-1.1669	3.7152	None
FAM222A-AS1	-0.0504	-0.8755	None
ANGEL1	-0.0869	-0.2551	None
HAS3	-0.261	-0.6396	None
MAP4K2	0.0804	-0.5693	None
CPEB2	0.2923	-1.2074	None
NEUROD2	-0.5544	1.9143	None
MAP7	0.4087	-0.6135	None
AL445584.2	0.1321	0.7998	None
TGM5	0.0772	-0.0186	None
AC007879.3	0.966	0.7068	None
ALDH7A1	-0.1724	0.6084	None
LSM5	0.0235	0.2572	None
AL928970.1	0.2477	-0.0098	None
AC107294.3	-1.7817	3.5046	None
SNORA75	1.0045	2.8545	None
KCNIP4	-0.0143	0.4556	None
VPS26B	0.0135	-0.7044	None
FGF21	0.4254	-3.2172	None
LINC02086	0.035	0.5927	None
PACSIN2	0.3655	-2.0397	None
PLXDC1	-0.203	0.8745	None
AC104564.3	-2.0078	-0.4488	None
SLC9C1	-0.3597	1.3657	None
ABCB10	-0.2611	-0.1758	None
ATG4A	0.1017	-1.0031	None
LINC02145	-0.0082	-0.6036	None
MORN2	-0.3661	0.6856	None
NOMO3	0.1915	-1.4742	None
PCBP3	0.3114	0.137	None
SND1	0.1535	-1.261	None
HNRNPLP2	0.2346	-0.4905	None
EFNB3	0.6883	1.379	None
CABP1	-0.644	1.323	None
AL035413.1	-0.0062	-0.706	None
DPH6	-0.3919	0.3363	None
PPP2R3C	0.2328	-0.767	None
ILF3	0.1146	-0.0005	None
AC090912.1	0.6269	0.294	None
PSD3	0.4056	-1.0961	None
TPMT	0.1671	-0.9041	None
GJC3	-0.2638	1.5675	None
RPL39P36	-0.1931	2.3437	None
TULP3	0.0588	-0.4466	None
RPS26P11	0.6177	0.0865	None
AL161937.1	0.7087	0.0633	None
ABCA7	-0.0391	0.4374	None
C17orf53	-0.0226	1.1357	None
AC098829.1	0.7381	0.8437	None
AC073073.1	0.6087	0.0925	None
CLTCL1	-0.2609	0.8452	None
AC126389.1	1.2087	2.5046	None
DDX3X	0.1421	-0.5939	None
AL096817.1	-0.878	3.3616	None
AC100757.1	-0.7202	-2.4202	None
AC040169.3	-0.6041	-0.0047	None
ADGRA3	-0.2961	0.6643	None
SAFB	-0.2996	0.5123	None
GPN2	0.0713	-0.1482	None
ATP6V1E2	0.0355	0.396	None
CICP16	-0.5434	1.198	None
NBR1	0.4082	-0.7314	None
RNU6-574P	-0.1598	2.3292	None
AC005670.1	-1.043	0.4383	None
AC092756.1	0.5772	0.8437	None
GLOD4	-0.0883	0.2169	None
IL1A	0.5499	-2.1647	None
FGF22	0.0093	1.338	None
UBAP1	0.3019	-1.0089	None
SNAI3	-0.0005	-0.3302	None
MUL1	0.1319	-0.8091	None
PRPS1	-0.0299	-0.1405	None
SETD1B	0.1039	-0.0126	None
OVOL2	0.5416	0.2475	None
LINC02211	-1.2043	-0.5745	None
EGFLAM	-0.4228	0.0633	None
AC078883.1	-0.35	1.314	None
ZNF329	0.4421	-0.729	None
TFB2M	0.1825	-0.8243	None
C1orf54	-0.0358	0.8863	None
C1DP1	0.6674	-3.5469	None
SF3B6	0.0241	0.0527	None
CA7	-1.3468	0.533	None
AL118506.1	-1.0084	0.0457	None
RPS2P5	0.2683	-1.6865	None
HSD3B7	0.1003	1.4858	None
PET117	0.2632	0.0579	None
AFAP1	0.396	-1.6393	None
RDH5	-0.6143	2.5751	None
AC087620.1	0.4005	1.7827	None
AP005899.1	0.5066	2.167	None
PSRC1	0.1838	0.6961	None
GRPEL1	-0.103	-0.2827	None
ZMYM6	-0.0528	0.6284	None
FRY	0.0899	1.261	None
TET2	0.0634	0.1592	None
TEX21P	-0.9039	2.2345	None
TMEM138	0.0493	0.8835	None
AC005722.2	1.0772	0.9488	None
AC011472.4	-1.8003	2.2828	None
SIPA1L1	0.0458	0.1525	None
MS4A15	-0.11	-1.3649	None
DNAAF5	0.102	-1.0091	None
AL136115.1	0.2789	2.3437	None
TDGF1P7	-0.4228	1.8594	None
TNRC6B	0.0331	0.3145	None
GTPBP3	-0.121	0.0638	None
TTC39C	0.0424	-0.7273	None
PCAT7	-0.0384	-0.1771	None
CCDC15	-0.1141	0.3297	None
FBXL8	-0.1915	0.7566	None
CLIC2	-0.0753	1.879	None
PTPA	-0.005	-0.5327	None
AC009413.1	2.0323	1.379	None
A4GALT	0.3164	-0.409	None
MATN1	-0.8121	-0.121	None
TBC1D13	0.0877	-0.353	None
HRH4	-1.9228	0.1218	None
AL358178.1	0.6216	0.121	None
ZNF808	0.1176	-0.5165	None
AC006378.2	-1.1093	1.6656	None
ATP2B1	0.0727	-0.3795	None
CIDECP	-0.1465	-0.5482	None
FAM72C	0.4117	1.3412	None
PPP1R14BP3	0.1317	0.1856	None
AC010735.1	-1.7448	0.9953	None
MB	0.0614	-0.5088	None
DOCK7	0.2573	-1.3141	None
CAMSAP2	0.0362	-0.8521	None
MIA2	0.24	-1.0117	None
DES	-0.2832	-1.3251	None
MSLNL	-0.0007	2.8832	None
LRRC37BP1	-0.2522	0.4177	None
SEL1L3	0.3818	-0.4651	None
AP002847.1	2.5306	1.4549	None
WWTR1-IT1	-0.3003	-0.4135	None
DPY19L2P3	0.7458	-0.7285	None
PPP1R21	-0.0617	-0.1928	None
AP000439.3	-0.9677	-2.826	None
CRLF1	0.0067	-0.6585	None
SUCLG2	-0.0947	-1.7374	None
AC125616.1	-0.3026	0.1552	None
LGALS3BP	0.3073	-0.6045	None
MIR4285	-0.9228	-1.3933	None
AC008556.1	-0.7153	-2.0174	None
GTF2H3	-0.0597	-1.1362	None
MDN1	-0.2481	0.6119	None
UBE2E1	0.0789	0.043	None
ACP2	-0.1362	0.0381	None
AL138921.2	0.6999	2.0029	None
ECPAS	-0.0283	0.3024	None
ARSJ	-0.1462	-0.0986	None
PLEKHB1	-0.2834	-0.3394	None
EEF1DP4	-0.0544	1.3324	None
CLK2P1	-1.8265	0.794	None
GSN	-0.0023	-0.1743	None
UVSSA	-0.1027	0.6312	None
SYCP3	0.7584	2.2475	None
AC009132.1	1.3291	-1.9631	None
CLEC2D	-0.2245	3.7607	None
GCFC2	-0.2467	-0.424	None
AL512274.1	0.6707	0.3807	None
CCDC188	0.2295	2.2358	None
SUMF2	0.1877	-0.9688	None
MYL5	-0.2465	1.6661	None
RPL10A	0.1017	-0.2539	None
CDH17	0.678	1.0949	None
ZNRD1	-0.2337	0.3097	None
SCHIP1	0.3652	4.1329	None
PSMD12P	-0.6801	1.3518	None
SEC22C	0.2225	-0.1529	None
PWP1	-0.2137	-0.2978	None
HMGB2	0.0709	1.5374	None
ABCC12	0.7398	-0.0857	None
VAV2	-0.0641	-0.0245	None
HNRNPCP2	-0.1181	0.251	None
AC092171.1	-0.0651	2.218	None
SLC7A5	0.7822	-1.3862	None
AC073488.8	0.6173	0.9814	None
AC007881.3	-1.7602	-1.2708	None
G3BP2	0.2693	-1.5293	None
AKR1C2	0.4668	0.6611	None
MPO	1.4403	-0.879	None
AL031008.1	1.1621	1.5255	None
TPCN1	-0.1709	0.0806	None
LGALS3	-0.1719	-0.2071	None
FOXA2	-1.6526	2.5105	None
AC005726.2	-1.7913	0.1272	None
LOXL4	0.0265	-0.4877	None
MARCKS	0.1724	-0.1992	None
AL163051.2	-0.9591	1.0662	None
RBM15	0.3354	0.5129	None
ERP27	-1.4228	-2.7001	None
AP003108.5	-0.263	2.6302	None
UBAC1	0.0167	-0.3152	None
PYY	0.5012	1.1363	None
AC018804.1	1.3696	0.6563	None
SUZ12	0.018	-0.276	None
OR8B9P	1.0323	-0.8041	None
SLC41A1	0.3177	-1.0206	None
AC083829.1	-1.0838	1.3437	None
ZNF200	0.0516	-0.2567	None
SMIM2	0.5768	2.1916	None
RPL11	0.0496	0.4565	None
CSDE1	0.1742	-0.9682	None
SLC22A31	-0.4758	1.1699	None
AC010327.4	-0.0853	-0.0297	None
ANKRD39	0.0826	0.3166	None
GOLGA8T	0.1349	0.7068	None
AMN1	0.0585	-1.2147	None
SKI	-0.0279	-0.5147	None
CATSPER1	0.2444	0.4938	None
SIRT3	-0.0937	0.512	None
PLEKHG1	0.2893	-0.3371	None
AC009686.2	-0.0934	0.9125	None
SCUBE3	-0.4088	0.6272	None
ZNF121	-0.3221	1.0523	None
AL356270.1	-0.4677	1.9814	None
KCNK6	-0.18	0.9584	None
AC233280.19	-0.9806	0.5865	None
AC092828.1	0.8223	4.0046	None
ATP5MC1	-0.1083	0.6941	None
TRIM7	-0.1427	0.5197	None
IMMT	-0.0136	-0.2693	None
TCEANC	-0.6963	-0.5098	None
POP4	0.1183	-0.0923	None
AC139749.1	1.4456	1.6017	None
LEPROT	0.2233	1.3544	None
UBQLN4P1	0.1741	-1.7925	None
AC024940.2	-0.4178	-2.4599	None
AC002310.1	-0.603	-0.3647	None
AC234582.1	-0.2445	4.3902	None
EBI3	-0.7033	1.5092	None
MRPL28	-0.1447	0.059	None
NUTM2F	-0.6705	1.233	None
SEC61B	0.178	0.0633	None
ZBTB4	-0.2655	-0.0715	None
NFAT5	-0.1397	1.2704	None
TAPT1-AS1	0.2087	-0.4985	None
C14orf28	-0.2768	-0.1652	None
ATP9A	0.0767	-0.8156	None
RPL23AP42	0.1163	0.2996	None
MRPL16	-0.1711	0.6673	None
CPN1	-0.2153	-0.3333	None
ELOCP31	-0.3318	1.379	None
FGG	0.54	-1.1594	None
TAF1A	-0.4771	-0.8057	None
PMEPA1	-0.2719	-1.2001	None
AC017104.3	0.3598	2.9419	None
LINC-PINT	-0.5272	1.3415	None
OSTN	0.2069	-1.7971	None
MED28	-0.2119	-0.0079	None
LINC01967	-0.2251	0.1159	None
AC026801.2	-1.0838	1.1331	None
SHTN1	-0.1268	0.2031	None
FAR2	-0.4493	-0.209	None
IRF3	-0.1113	1.047	None
AC092053.2	-0.4228	0.2827	None
CMTM2	0.2584	0.1127	None
CD46	0.0242	0.4859	None
SH3PXD2A-AS1	0.4702	-1.8848	None
ZNF865	0.0332	0.3087	None
SPSB2	0.1025	-0.284	None
AC092802.3	1.3696	0.1916	None
OR11H7	-0.0082	1.0865	None
AC083843.3	-0.2379	2.6959	None
LINC01134	-0.7582	-1.3812	None
LYPLA1P3	0.6836	-1.5593	None
AC007743.1	0.0772	-0.8041	None
STAR	0.053	0.1715	None
LINC01607	0.5436	-0.4092	None
ARHGAP12	-0.0468	0.0347	None
AL451074.2	-2.4916	1.455	None
ANKRD13C	0.2269	-0.8014	None
CYCSP24	-0.6891	2.5046	None
AL109935.1	-2.2043	-0.879	None
AC007405.3	-0.1602	0.7435	None
ICAM2	0.8696	-0.464	None
TNNI3	-0.0737	1.0415	None
GM2A	0.5369	-0.0712	None
NCAPH2	0.1509	0.2142	None
AC009097.4	-0.0078	-0.9135	None
FBXO7	0.0698	0.0147	None
STIM1	0.3621	-0.5982	None
FMR1-IT1	0.2396	3.2292	None
AC018638.4	-0.1418	2.8557	None
ZNF425	-0.2108	-1.0755	None
TMEM14C	0.3026	0.1602	None
AC107214.1	0.2639	0.0272	None
AC010245.2	-0.4501	1.2306	None
ETF1	0.1797	-1.3134	None
FBXL3	-0.1727	-0.763	None
FASN	0.1175	-0.7141	None
TOP1	0.1884	-0.733	None
HIF1A-AS2	-0.7489	1.5399	None
PINLYP	0.7471	0.9902	None
CDK4	-0.0992	-1.8782	None
APOL2	-0.0795	0.7746	None
AC145422.1	-0.4988	1.5663	None
MTND1P9	0.5772	0.121	None
TTN-AS1	-0.6535	1.3322	None
AC012435.1	0.2936	0.5678	None
MYCL	0.664	-1.9044	None
AC022613.2	-1.8003	-0.2611	None
AC004812.2	-0.3246	0.6793	None
ZNF674-AS1	-0.0144	0.038	None
VPS26A	0.3246	-1.0883	None
RF00003	-0.4739	0.9341	None
C6orf47	0.0551	-0.6155	None
AL359844.1	1.6578	1.7059	None
ACTA2	-0.1557	-0.569	None
GALNT18	0.1614	-0.4364	None
ENSA	0.1287	0.1491	None
SNORA80B	-0.619	3.0597	None
RASGEF1A	0.189	-0.3372	None
MTRR	-0.2434	-1.084	None
NECAB3	-0.3304	-0.0092	None
BRD1	0.0171	0.093	None
MAGOH	-0.0605	0.2678	None
AC006199.1	-1.5526	-0.8782	None
CRAMP1	-0.0136	0.1574	None
C12orf4	-0.18	-0.3881	None
RGCC	-0.2082	-0.068	None
HIF1A	0.1476	-0.5709	None
POLR3K	-0.3565	-0.1905	None
LDAH	0.0116	-0.0699	None
FRS3	-0.3027	0.3732	None
CRYAB	-0.9457	-1.5375	None
CDADC1	-0.084	-0.5095	None
RNVU1-4	0.5306	0.1939	None
H2AFV	0.2425	0.3496	None
NF2	0.2967	-0.3561	None
MAF1	0.1396	-0.4844	None
SRSF1	-0.9547	0.0005	None
RBM44	1.2662	2.6294	None
C11orf95	-0.0181	1.0583	None
KLF2	-0.0543	-0.0416	None
GOLGA3	0.2457	-0.8578	None
RNF26	0.3474	-0.6155	None
AC139887.1	1.2381	1.3437	None
AL117328.1	-0.6304	0.1916	None
TXNDC9	-0.017	-0.5039	None
USP30	0.0254	-0.5865	None
KLF11	0.4788	-1.2863	None
SHLD2P1	0.0857	-1.2557	None
RANGAP1	0.0297	-0.464	None
AL451042.2	0.1459	-0.3093	None
RPL5P34	0.0239	0.7689	None
RNVU1-6	1.3696	2.0237	None
IGSF5	-1.9185	-1.4712	None
BX284668.6	-0.7153	0.1218	None
AP1B1	0.1592	-0.8568	None
TUBAP2	0.1977	0.379	None
SLC27A3	0.217	1.4934	None
ODR4	-0.1134	0.5806	None
LINC02012	-0.11	0.0015	None
RN7SL350P	0.0815	0.121	None
GABPAP	0.5146	-1.0952	None
AC026368.1	-0.0806	2.9718	None
CBLC	-0.0803	-0.3596	None
MORC3	-0.0658	-0.8857	None
ECSIT	0.2474	-0.1177	None
STPG4	-0.3739	0.6271	None
AC069307.1	-0.2731	1.8052	None
EIF3B	0.0741	-0.327	None
TAF1	-0.0221	0.3621	None
CDC123	-0.1335	0.0734	None
LBP	-0.2153	1.3173	None
Z97192.1	-0.6623	3.2971	None
Z99755.1	1.9384	-1.9781	None
MPZ	-0.1886	-0.7789	None
ZNF326	-0.0676	1.4363	None
ZNF419	-0.3072	1.9786	None
DAAM2	0.4274	-0.9135	None
DNMBP	0.4742	0.6096	None
AC087752.4	-0.9298	2.955	None
ATN1	0.1385	0.0124	None
ZNF883	1.0772	-0.0186	None
EMC8	-0.0887	-0.5728	None
CST3	0.1983	0.3189	None
TCF3P1	2.1621	0.1916	None
LRRC37A17P	-0.2371	0.0887	None
LRRC47	0.0544	-0.7578	None
BACH2	0.1535	-0.0356	None
ASCC3	-0.0623	-0.5068	None
LINC01545	0.4101	1.9143	None
AC067863.1	-0.0078	-0.8782	None
SPCS3	0.221	-0.4834	None
SLC31A1	0.4282	-1.0774	None
C9orf66	-0.0078	-1.7211	None
GDPD1	0.0396	-0.5991	None
AC009509.4	-0.3265	1.718	None
GDAP2	-0.0751	-0.4352	None
EYA4	0.0772	-0.0745	None
MRPS35	0.0197	-0.4125	None
BMP2K	0.398	-0.5077	None
TMED5	0.3517	-0.4938	None
ZNF362	0.1381	0.7977	None
OST4	0.0558	0.5603	None
GUSBP3	-1.0419	2.3264	None
RPLP0P2	0.23	-1.8554	None
BCL2	-0.0932	-0.3866	None
ARHGEF17	0.0231	0.1912	None
GPC2	0.0038	1.7153	None
BUB1B	0.0638	0.0627	None
LINC01118	1.3696	2.4438	None
NR1H2	0.0345	-0.1715	None
AC023271.1	0.0366	0.8437	None
DPH6-DT	0.8696	0.3638	None
AC080128.2	0.0323	-0.4833	None
DECR1	-0.2031	1.189	None
NGDN	-0.014	0.4328	None
ALG1L10P	-0.2357	0.4026	None
VPS35	-0.0157	0.5513	None
RNF10	0.17	-0.5529	None
ALPK2	-0.2328	-0.6679	None
SNX25	0.1686	-0.2553	None
AC129492.5	-0.1818	0.5451	None
ANXA2R	-0.6539	-0.4712	None
TYMSOS	0.1037	0.0466	None
AC093616.1	-0.5035	-1.879	None
AC007638.2	-1.3823	0.1563	None
RPL21P28	-0.5114	1.1231	None
HSPD1P10	2.2381	1.294	None
PANK3	-0.2571	-0.101	None
RIBC1	-0.0385	0.8656	None
AL662844.4	-1.3406	1.0793	None
ZBTB44	-0.0278	-0.1651	None
CBL	0.1925	-0.4335	None
APBA3	0.0252	-0.3935	None
TIMELESS	-0.1957	0.3835	None
SHPRH	-0.2019	-0.5064	None
PGBD4	-0.7446	1.3073	None
AC004771.3	0.3141	-0.4197	None
AL359962.2	-0.3379	0.0512	None
CNDP2	-0.2823	-0.6889	None
SPARCL1	0.1066	2.252	None
KRT8P31	-1.119	0.052	None
AC007969.1	-0.0486	1.2546	None
LRRC34	0.2511	1.0865	None
STOX2	0.3088	0.881	None
AC019294.2	-1.1041	-1.8263	None
CLOCK	-0.117	0.112	None
IGFBP7	-0.0401	1.879	None
KLK11	-0.319	0.9277	None
AC021491.2	-0.8934	0.8293	None
MCM3	-0.4522	0.6802	None
AC132938.3	-0.2099	-0.873	None
AC092490.1	0.1269	-1.3172	None
ZNF451	0.1169	0.0949	None
NAT16	-0.2262	-1.4006	None
TMEM80	-0.2355	1.2661	None
AC006001.2	-0.2203	0.4266	None
LINC01564	0.2574	-1.616	None
DPH2	-0.2024	-0.431	None
AC233992.2	-1.2153	1.6014	None
BMP5	0.4456	1.6017	None
DPM2	-0.2397	-0.5043	None
TMEM31	-0.9272	-0.9631	None
EIF2B2	0.0508	-0.9714	None
ZMYND15	-0.0283	0.8932	None
VCPKMT	-0.0252	0.2272	None
PRPF19	0.0043	-0.6558	None
LINC01612	-0.7021	0.5783	None
CCDC173	-0.4967	-0.621	None
MARK2	0.1324	-1.0181	None
CHKB-CPT1B	-0.446	3.8457	None
MRPL3P1	-0.1304	-1.3375	None
NRROS	-0.6304	0.052	None
AC015689.1	-0.534	0.379	None
CENPA	0.5285	-0.0499	None
RPUSD4	-0.1269	-0.286	None
SUDS3P1	0.3627	-0.245	None
SFXN5	-0.1663	0.1496	None
MIR7111	-0.5676	2.8437	None
ANKRA2	-0.2846	-0.2631	None
OGFRL1	0.1421	-1.051	None
TRIO	0.423	0.0606	None
COL16A1	0.4585	0.5712	None
UBE2D1	0.0519	-0.4922	None
VSIG1	0.0772	-1.1563	None
DMPK	0.2269	0.6903	None
SAYSD1	-0.2396	0.3735	None
RHOT2	-0.1993	0.5502	None
TOP2B	0.1262	-0.4998	None
AL096701.1	0.2786	-0.621	None
DGKA	0.1311	0.9776	None
AC027763.2	0.149	0.7414	None
AL137847.2	0.0144	0.0865	None
IL9R	-0.9875	-0.8437	None
PSMD4	0.1043	0.0583	None
SNUPN	-0.0418	-0.7319	None
POLR2I	-0.2092	0.4532	None
MIR181A2HG	0.1701	0.5105	None
GKAP1	-0.0871	0.1359	None
PTPRK	0.0203	0.0795	None
RIPK1	0.1082	-0.0196	None
PTK6	-0.0421	0.1082	None
LINC01749	-0.9185	-0.0186	None
ZNF100	-0.3853	0.1688	None
AC107294.1	-1.7602	-0.5338	None
RPS14	0.0415	0.0714	None
RASSF1	-0.141	-0.1466	None
CCDC13	-1.1075	1.4032	None
C1D	0.0061	-1.8606	None
AL138689.1	-0.3186	0.9417	None
TMEM229B	0.286	-0.1234	None
TICAM2	-0.8763	0.3587	None
CDK5R1	-0.2453	-0.4356	None
CAMK2N1	0.2197	-0.0073	None
AC096887.2	-1.5838	0.0512	None
AC022150.4	-0.5181	-0.5009	None
NKX3-1	0.3329	-1.2701	None
MARVELD3	-0.1422	-0.2857	None
CD24	-0.4717	0.1097	None
GATC	-0.0833	-0.0423	None
POLI	-0.3423	0.3421	None
ARHGEF35	0.345	-0.2652	None
TCHP	0.1235	-0.0433	None
AC027808.2	0.0772	0.5255	None
TP53INP2	0.1667	-0.8265	None
NRADDP	0.4456	1.1105	None
HNRNPA3	0.249	0.6422	None
NSUN4	-0.1646	0.0157	None
RAB11B	0.0625	0.0731	None
WDR3	-0.2465	-0.5347	None
ITGB8	-0.9567	0.6925	None
SMIM4	0.1016	-0.006	None
SCGB2A1	-0.3823	-0.6594	None
SLX4	0.2172	0.4498	None
GPR173	-0.2473	-0.0438	None
NOMO2	0.8498	-2.5984	None
ITIH3	1.0287	0.0015	None
GID8	0.0662	-0.3757	None
AC007848.1	-0.872	2.5774	None
BX284668.2	-0.2713	-1.5912	None
HSPD1	-0.2001	-0.0206	None
LINC01615	-0.7005	1.5529	None
PEX14	-0.0281	-0.5027	None
RPS23	0.1461	0.0083	None
SNORD92	-0.2153	-0.9833	None
SNRPG	-0.1086	0.6088	None
FAM3D-AS1	-1.4228	-1.206	None
HGSNAT	-0.0341	0.4308	None
ABRACL	-0.0965	0.5364	None
ZNF350	0.2597	2.4398	None
AC233992.3	0.5024	0.9477	None
AC092574.1	-0.9228	0.5369	None
DAGLA	-0.1749	-0.4048	None
EMC10	0.2296	-0.337	None
PPP1R18	-0.4377	-0.2435	None
KIF18A	0.203	0.9101	None
ASTN2	-0.1737	-0.8848	None
AL645608.7	-0.9242	0.4399	None
ARL16	-0.2133	0.7693	None
LINC02008	-0.0539	0.245	None
ZFP41	-0.2159	-0.1416	None
RPL23AP24	-0.8265	-0.2182	None
KLHL33	-0.2153	1.379	None
DEPDC4	-0.345	-0.245	None
ZNF17	-0.0648	-0.3758	None
SORBS3	0.1216	0.5264	None
DNM2	0.1745	-0.2326	None
AC005050.1	-1.4623	-0.3375	None
AC060780.1	-0.5767	1.0132	None
AC099336.2	-0.0823	0.6082	None
ZNF227	0.039	0.0481	None
CD55	0.5811	-0.9647	None
SSBP3	0.111	0.1419	None
AC127502.3	-1.9677	1.121	None
