cluster	lineage	marker	expression
c1	Vγ9Vδ2	NKG2A	0.982108473157689
c1	Vγ9Vδ2	NKG2A	0.755903675739706
c1	Vγ9Vδ2	NKG2A	0.617019051220052
c1	Vγ9Vδ2	NKG2A	1.65270273978631
c1	Vγ9Vδ2	NKG2A	0.928520302706973
c1	Vγ9Vδ2	NKG2A	1.04538309823293
c1	Vγ9Vδ2	NKG2A	0.783316019373247
c1	Vγ9Vδ2	NKG2A	1.69662872131819
c1	Vγ9Vδ2	NKG2A	0.276905603230555
c1	Vγ9Vδ2	NKG2A	1.48148718961017
c1	Vγ9Vδ2	NKG2A	1.77119394872997
c1	Vγ9Vδ2	NKG2A	1.00506224848115
c1	Vγ9Vδ2	NKG2A	1.61063522628921
c1	Vγ9Vδ2	NKG2A	0.495084250613536
c1	Vγ9Vδ2	NKG2A	1.58811937742875
c1	Vγ9Vδ2	NKG2A	0.721890414411973
c1	Vγ9Vδ2	NKG2A	1.24150484576728
c1	Vγ9Vδ2	NKG2A	0.163642401623924
c1	Vγ9Vδ2	NKG2A	0.655401652034587
c1	Vγ9Vδ2	NKG2A	1.4076563342621
c1	Vγ9Vδ2	NKG2A	1.29673720268164
c1	Vγ9Vδ2	NKG2A	1.30703862704529
c1	Vγ9Vδ2	NKG2A	1.54371072668585
c1	Vγ9Vδ2	NKG2A	1.15296626111774
c1	Vγ9Vδ2	NKG2A	1.76575547925305
c1	Vγ9Vδ2	NKG2A	0.0201926500642673
c1	Vγ9Vδ2	NKG2A	0.455954241411455
c1	Vγ9Vδ2	NKG2A	0.882959793410683
c1	Vγ9Vδ2	NKG2A	1.55477542191289
c1	Vγ9Vδ2	NKG2A	1.3120282649912
c1	Vγ9Vδ2	NKG2A	1.9468616875172
c1	Vγ9Vδ2	NKG2A	1.04800035202065
c1	Vγ9Vδ2	NKG2A	1.20376453482903
c1	Vγ9Vδ2	NKG2A	1.9636040931225
c1	Vγ9Vδ2	NKG2A	1.02267000286621
c1	Vγ9Vδ2	NKG2A	0.764531280536499
c1	Vγ9Vδ2	NKG2A	1.91695559240944
c1	Vγ9Vδ2	NKG2A	1.93598285185875
c1	Vγ9Vδ2	NKG2A	1.39228982358922
c1	Vγ9Vδ2	NKG2A	2.00030572283407
c1	Vγ9Vδ2	NKG2A	1.58438998572245
c1	Vγ9Vδ2	NKG2A	0
c1	Vγ9Vδ2	NKG2A	1.82134709349455
c1	Vγ9Vδ2	NKG2A	1.25063724899815
c1	Vγ9Vδ2	NKG2A	0.0601489865549059
c1	Vγ9Vδ2	NKG2A	0.211316360649281
c1	Vγ9Vδ2	NKG2A	0.578583573437775
c1	Vγ9Vδ2	NKG2A	1.38333397072749
c1	Vγ9Vδ2	NKG2A	1.1452808582816
c1	Vγ9Vδ2	NKG2A	1.61592075855024
c1	Vγ9Vδ2	NKG2A	1.91653333713235
c1	Vγ9Vδ2	NKG2A	1.72845342515047
c1	Vγ9Vδ2	NKG2A	0
c1	Vγ9Vδ2	NKG2A	0.81990839644597
c1	Vγ9Vδ2	NKG2A	0.237407161326807
c1	Vγ9Vδ2	NKG2A	1.66110052399395
c1	Vγ9Vδ2	NKG2A	1.35449715874592
c1	Vγ9Vδ2	NKG2A	0.853179740362731
c1	Vγ9Vδ2	NKG2A	1.52706656653617
c1	Vγ9Vδ2	NKG2A	0.242748681959082
c1	Vγ9Vδ2	NKG2A	0.811073507903827
c1	Vγ9Vδ2	NKG2A	0.654640824653516
c1	Vγ9Vδ2	NKG2A	1.01070715237274
c1	Vγ9Vδ2	NKG2A	1.10967443688497
c1	Vγ9Vδ2	NKG2A	1.47626527402677
c1	Vγ9Vδ2	NKG2A	1.81290535840761
c1	Vγ9Vδ2	NKG2A	1.36701692641712
c1	Vγ9Vδ2	NKG2A	1.21366146971534
c1	Vγ9Vδ2	NKG2A	1.01618452881523
c1	Vγ9Vδ2	NKG2A	1.01847266670891
c1	Vγ9Vδ2	NKG2A	1.88962636554869
c1	Vγ9Vδ2	NKG2A	0.774609899910667
c1	Vγ9Vδ2	NKG2A	0.605256499329846
c1	Vγ9Vδ2	NKG2A	1.28484797890014
c1	Vγ9Vδ2	NKG2A	1.99820373662048
c1	Vγ9Vδ2	NKG2A	1.50972229229885
c1	Vγ9Vδ2	NKG2A	1.15029639625231
c1	Vγ9Vδ2	NKG2A	0
c1	Vγ9Vδ2	NKG2A	2.31952647839573
c1	Vγ9Vδ2	NKG2A	0.941030316204108
c1	Vγ9Vδ2	NKG2A	0.315703703252652
c1	Vγ9Vδ2	NKG2A	0.995762325724935
c1	Vγ9Vδ2	NKG2A	0.546302944298082
c1	Vγ9Vδ2	NKG2A	0.0868047220093562
c1	Vγ9Vδ2	NKG2A	0.502554151369877
c1	Vγ9Vδ2	NKG2A	1.28421689397264
c1	Vγ9Vδ2	NKG2A	1.05579682367596
c1	Vγ9Vδ2	NKG2A	0.934480748176145
c1	Vγ9Vδ2	NKG2A	1.42805262884639
c1	Vγ9Vδ2	NKG2A	0
c1	Vγ9Vδ2	CD31	0.145204199813242
c1	Vγ9Vδ2	CD31	1.27558464628636
c1	Vγ9Vδ2	CD31	0.952076260366205
c1	Vγ9Vδ2	CD31	1.54483568872293
c1	Vγ9Vδ2	CD31	1.10476097942781
c1	Vγ9Vδ2	CD31	1.80495253286154
c1	Vγ9Vδ2	CD31	0.215289202565069
c1	Vγ9Vδ2	CD31	0.642066373571686
c1	Vγ9Vδ2	CD31	1.27443660557385
c1	Vγ9Vδ2	CD31	1.40288432678449
c1	Vγ9Vδ2	CD31	0.463459115014173
c1	Vγ9Vδ2	CD31	1.88387686452842
c1	Vγ9Vδ2	CD31	0
c1	Vγ9Vδ2	CD31	1.39267809788111
c1	Vγ9Vδ2	CD31	1.37861400223165
c1	Vγ9Vδ2	CD31	1.15265032713963
c1	Vγ9Vδ2	CD31	0.410590540358693
c1	Vγ9Vδ2	CD31	1.122839036101
c1	Vγ9Vδ2	CD31	1.88530506620975
c1	Vγ9Vδ2	CD31	0.472379549817373
c1	Vγ9Vδ2	CD31	2.24923986299722
c1	Vγ9Vδ2	CD31	0.860271599639676
c1	Vγ9Vδ2	CD31	0.35529570337331
c1	Vγ9Vδ2	CD31	0.892130182655828
c1	Vγ9Vδ2	CD31	0.554598817964552
c1	Vγ9Vδ2	CD31	0.131620747354638
c1	Vγ9Vδ2	CD31	0.987311377658873
c1	Vγ9Vδ2	CD31	0.84785772335068
c1	Vγ9Vδ2	CD31	0.0128906491810364
c1	Vγ9Vδ2	CD31	1.4825570228802
c1	Vγ9Vδ2	CD31	1.02909162762731
c1	Vγ9Vδ2	CD31	0.676899392660064
c1	Vγ9Vδ2	CD31	1.14566034974431
c1	Vγ9Vδ2	CD31	1.37373753226863
c1	Vγ9Vδ2	CD31	1.77103379182683
c1	Vγ9Vδ2	CD31	0.738966992970236
c1	Vγ9Vδ2	CD31	0.632918025618717
c1	Vγ9Vδ2	CD31	1.98330591719029
c1	Vγ9Vδ2	CD31	1.45371725017014
c1	Vγ9Vδ2	CD31	1.26601289104869
c1	Vγ9Vδ2	CD31	1.10827879012486
c1	Vγ9Vδ2	CD31	1.18888788494588
c1	Vγ9Vδ2	CD31	0.85822469301711
c1	Vγ9Vδ2	CD31	1.95134819580602
c1	Vγ9Vδ2	CD31	0.816243384573871
c1	Vγ9Vδ2	CD31	0.802416612624019
c1	Vγ9Vδ2	CD31	0.74284268375007
c1	Vγ9Vδ2	CD31	1.28632426917059
c1	Vγ9Vδ2	CD31	0.385331020178133
c1	Vγ9Vδ2	CD31	0.456035008527542
c1	Vγ9Vδ2	CD31	1.66286070759011
c1	Vγ9Vδ2	CD31	0
c1	Vγ9Vδ2	CD31	1.44424402144877
c1	Vγ9Vδ2	CD31	0.976986192191471
c1	Vγ9Vδ2	CD31	1.91310438325934
c1	Vγ9Vδ2	CD31	1.72987960874024
c1	Vγ9Vδ2	CD31	0.591573666963819
c1	Vγ9Vδ2	CD31	0.900857158339082
c1	Vγ9Vδ2	CD31	0
c1	Vγ9Vδ2	CD31	0.808556496462085
c1	Vγ9Vδ2	CD31	1.43577263049451
c1	Vγ9Vδ2	CD31	0.712638544128125
c1	Vγ9Vδ2	CD31	0.325639090033672
c1	Vγ9Vδ2	CD31	1.27677885449544
c1	Vγ9Vδ2	CD31	0.767977161045574
c1	Vγ9Vδ2	CD31	1.4932771385382
c1	Vγ9Vδ2	CD31	0.368037499939024
c1	Vγ9Vδ2	CD31	0
c1	Vγ9Vδ2	CD31	0.693898152881706
c1	Vγ9Vδ2	CD31	0.747591387793113
c1	Vγ9Vδ2	CD31	0.790081234435886
c1	Vγ9Vδ2	CD31	1.20049513773194
c1	Vγ9Vδ2	CD31	1.00258155982604
c1	Vγ9Vδ2	CD31	1.84643607562315
c1	Vγ9Vδ2	CD31	0.240126423576582
c1	Vγ9Vδ2	CD31	0.808702664552129
c1	Vγ9Vδ2	CD31	1.07065951472431
c1	Vγ9Vδ2	CD31	1.85970827468051
c1	Vγ9Vδ2	CD31	0.957093518905812
c1	Vγ9Vδ2	CD31	1.8165044452597
c1	Vγ9Vδ2	CD31	0.0141842470960257
c1	Vγ9Vδ2	CD31	0.85197403416671
c1	Vγ9Vδ2	CD31	0.847200835342836
c1	Vγ9Vδ2	CD31	1.70534212856279
c1	Vγ9Vδ2	CD31	1.42256642746598
c1	Vγ9Vδ2	CD31	0.75062411580893
c1	Vγ9Vδ2	CD31	0
c1	Vγ9Vδ2	CD31	0.455951969450961
c1	Vγ9Vδ2	CD31	0.980424439475423
c1	Vγ9Vδ2	CD31	0.725692954784513
c1	Vγ9Vδ2	CD8	2.1225253433905
c1	Vγ9Vδ2	CD8	0.573161986723415
c1	Vγ9Vδ2	CD8	1.00623895973061
c1	Vγ9Vδ2	CD8	1.7011646049911
c1	Vγ9Vδ2	CD8	2.07101970003874
c1	Vγ9Vδ2	CD8	1.65170102279431
c1	Vγ9Vδ2	CD8	0.754732619866046
c1	Vγ9Vδ2	CD8	2.40446498865647
c1	Vγ9Vδ2	CD8	1.34357630632695
c1	Vγ9Vδ2	CD8	0
c1	Vγ9Vδ2	CD8	1.46875488391011
c1	Vγ9Vδ2	CD8	1.72692300008349
c1	Vγ9Vδ2	CD8	1.82898953154091
c1	Vγ9Vδ2	CD8	1.16409439155056
c1	Vγ9Vδ2	CD8	1.68622357943339
c1	Vγ9Vδ2	CD8	1.71344951240504
c1	Vγ9Vδ2	CD8	2.03238405623607
c1	Vγ9Vδ2	CD8	1.55490338948429
c1	Vγ9Vδ2	CD8	2.13103796430546
c1	Vγ9Vδ2	CD8	2.08555666459589
c1	Vγ9Vδ2	CD8	1.77734097435852
c1	Vγ9Vδ2	CD8	0.940591183327509
c1	Vγ9Vδ2	CD8	2.54455457899967
c1	Vγ9Vδ2	CD8	2.10260464439271
c1	Vγ9Vδ2	CD8	0.637469694293248
c1	Vγ9Vδ2	CD8	2.17203909667985
c1	Vγ9Vδ2	CD8	2.31471451416133
c1	Vγ9Vδ2	CD8	1.19616322789947
c1	Vγ9Vδ2	CD8	1.1600625394914
c1	Vγ9Vδ2	CD8	0.647322215878138
c1	Vγ9Vδ2	CD8	1.88982829356251
c1	Vγ9Vδ2	CD8	1.45401902821532
c1	Vγ9Vδ2	CD8	2.56318951647067
c1	Vγ9Vδ2	CD8	1.02874989210643
c1	Vγ9Vδ2	CD8	0.259873223541397
c1	Vγ9Vδ2	CD8	0.945846187856162
c1	Vγ9Vδ2	CD8	2.53163772021562
c1	Vγ9Vδ2	CD8	1.76208414532823
c1	Vγ9Vδ2	CD8	0.157309110115818
c1	Vγ9Vδ2	CD8	1.163942555973
c1	Vγ9Vδ2	CD8	2.37041414565818
c1	Vγ9Vδ2	CD8	0.25902793184943
c1	Vγ9Vδ2	CD8	0.192243878408126
c1	Vγ9Vδ2	CD8	0.991056476257527
c1	Vγ9Vδ2	CD8	2.28827592763624
c1	Vγ9Vδ2	CD8	0.990452394442163
c1	Vγ9Vδ2	CD8	2.17909642665424
c1	Vγ9Vδ2	CD8	1.88096591351041
c1	Vγ9Vδ2	CD8	1.83250754202376
c1	Vγ9Vδ2	CD8	1.11503872065565
c1	Vγ9Vδ2	CD8	1.45319684908019
c1	Vγ9Vδ2	CD8	2.23727237494924
c1	Vγ9Vδ2	CD8	1.73195465325552
c1	Vγ9Vδ2	CD8	1.47269608937004
c1	Vγ9Vδ2	CD8	1.67710495480419
c1	Vγ9Vδ2	CD8	2.05691637434409
c1	Vγ9Vδ2	CD8	3.11276793656877
c1	Vγ9Vδ2	CD8	0.698876795703083
c1	Vγ9Vδ2	CD8	1.6685924096147
c1	Vγ9Vδ2	CD8	1.77038011817892
c1	Vγ9Vδ2	CD8	1.24765384871341
c1	Vγ9Vδ2	CD8	1.37438197628192
c1	Vγ9Vδ2	CD8	1.55239862268874
c1	Vγ9Vδ2	CD8	1.19262288979919
c1	Vγ9Vδ2	CD8	1.0819008500942
c1	Vγ9Vδ2	CD8	1.04426862174878
c1	Vγ9Vδ2	CD8	1.60504680361518
c1	Vγ9Vδ2	CD8	1.2716348884332
c1	Vγ9Vδ2	CD8	1.85466119432956
c1	Vγ9Vδ2	CD8	2.93027605808862
c1	Vγ9Vδ2	CD8	1.26488247761359
c1	Vγ9Vδ2	CD8	1.47833629367463
c1	Vγ9Vδ2	CD8	0.707938918423071
c1	Vγ9Vδ2	CD8	0.888969918763897
c1	Vγ9Vδ2	CD8	2.11947726455546
c1	Vγ9Vδ2	CD8	1.88922305948366
c1	Vγ9Vδ2	CD8	1.6796714865252
c1	Vγ9Vδ2	CD8	1.49922827387864
c1	Vγ9Vδ2	CD8	0.693179510862854
c1	Vγ9Vδ2	CD8	1.20389887686511
c1	Vγ9Vδ2	CD8	2.27764615088002
c1	Vγ9Vδ2	CD8	0.909339366563601
c1	Vγ9Vδ2	CD8	1.96809451728781
c1	Vγ9Vδ2	CD8	0.950763021464113
c1	Vγ9Vδ2	CD8	1.02838351446323
c1	Vγ9Vδ2	CD8	1.10980475765361
c1	Vγ9Vδ2	CD8	1.98883558597587
c1	Vγ9Vδ2	CD8	0.954502632132244
c1	Vγ9Vδ2	CD8	1.26329481071564
c1	Vγ9Vδ2	CD8	1.9635168515073
c1	Vγ9Vδ2	CD57	1.08698959269748
c1	Vγ9Vδ2	CD57	1.0723341546298
c1	Vγ9Vδ2	CD57	1.4796861040307
c1	Vγ9Vδ2	CD57	0.361194335652982
c1	Vγ9Vδ2	CD57	0.0760850830905767
c1	Vγ9Vδ2	CD57	0.405734822390544
c1	Vγ9Vδ2	CD57	0.734938511491413
c1	Vγ9Vδ2	CD57	1.05670186859292
c1	Vγ9Vδ2	CD57	0.545836261579954
c1	Vγ9Vδ2	CD57	0.785966970863485
c1	Vγ9Vδ2	CD57	1.27000382938294
c1	Vγ9Vδ2	CD57	0.59027111980544
c1	Vγ9Vδ2	CD57	1.17821811937226
c1	Vγ9Vδ2	CD57	0.486266735912076
c1	Vγ9Vδ2	CD57	0.318481052420672
c1	Vγ9Vδ2	CD57	2.4937321302661
c1	Vγ9Vδ2	CD57	0.578258522362874
c1	Vγ9Vδ2	CD57	0.92137757420779
c1	Vγ9Vδ2	CD57	0.925322755162056
c1	Vγ9Vδ2	CD57	0.853790250914895
c1	Vγ9Vδ2	CD57	0.8633999161331
c1	Vγ9Vδ2	CD57	0.829199888362295
c1	Vγ9Vδ2	CD57	0.824295854771651
c1	Vγ9Vδ2	CD57	1.51074308866806
c1	Vγ9Vδ2	CD57	0.329640825459465
c1	Vγ9Vδ2	CD57	1.08510521398635
c1	Vγ9Vδ2	CD57	0.603518481223606
c1	Vγ9Vδ2	CD57	1.45198748695649
c1	Vγ9Vδ2	CD57	0
c1	Vγ9Vδ2	CD57	1.87705186550574
c1	Vγ9Vδ2	CD57	0.682415351335541
c1	Vγ9Vδ2	CD57	0.236016776318121
c1	Vγ9Vδ2	CD57	1.49875000567887
c1	Vγ9Vδ2	CD57	0.489085817126117
c1	Vγ9Vδ2	CD57	1.34855808620935
c1	Vγ9Vδ2	CD57	1.58350607510763
c1	Vγ9Vδ2	CD57	0.308522910635452
c1	Vγ9Vδ2	CD57	0.64882728406024
c1	Vγ9Vδ2	CD57	0.599271732050191
c1	Vγ9Vδ2	CD57	1.82206418758413
c1	Vγ9Vδ2	CD57	0
c1	Vγ9Vδ2	CD57	0.161646360372835
c1	Vγ9Vδ2	CD57	1.25509577031572
c1	Vγ9Vδ2	CD57	1.01469472918672
c1	Vγ9Vδ2	CD57	0.203001460974763
c1	Vγ9Vδ2	CD57	0
c1	Vγ9Vδ2	CD57	0.552430746331599
c1	Vγ9Vδ2	CD57	1.02834703474922
c1	Vγ9Vδ2	CD57	0
c1	Vγ9Vδ2	CD57	0.428196503233244
c1	Vγ9Vδ2	CD57	0.194516325841739
c1	Vγ9Vδ2	CD57	1.10367601352265
c1	Vγ9Vδ2	CD57	0
c1	Vγ9Vδ2	CD57	1.6291627772714
c1	Vγ9Vδ2	CD57	0.86414108765292
c1	Vγ9Vδ2	CD57	0.313788358706947
c1	Vγ9Vδ2	CD57	1.22789298131967
c1	Vγ9Vδ2	CD57	1.32714961656305
c1	Vγ9Vδ2	CD57	0.70424977652396
c1	Vγ9Vδ2	CD57	1.68865844163587
c1	Vγ9Vδ2	CD57	2.08960121389222
c1	Vγ9Vδ2	CD57	0.808668763489204
c1	Vγ9Vδ2	CD57	0.622876298635435
c1	Vγ9Vδ2	CD57	0.693180633598585
c1	Vγ9Vδ2	CD57	0.932835807240793
c1	Vγ9Vδ2	CD57	1.0096123326515
c1	Vγ9Vδ2	CD57	0
c1	Vγ9Vδ2	CD57	1.12225460136999
c1	Vγ9Vδ2	CD57	1.05408128228151
c1	Vγ9Vδ2	CD57	0.652543475028181
c1	Vγ9Vδ2	CD57	0.179573919445812
c1	Vγ9Vδ2	CD57	0.527961652307953
c1	Vγ9Vδ2	CD57	0.295934304426228
c1	Vγ9Vδ2	CD57	0.943460392339691
c1	Vγ9Vδ2	CD57	0.979270761025732
c1	Vγ9Vδ2	CD57	0.995787425829132
c1	Vγ9Vδ2	CD57	1.2129696247502
c1	Vγ9Vδ2	CD57	0.487189367633153
c1	Vγ9Vδ2	CD57	1.97230755967452
c1	Vγ9Vδ2	CD57	0.358726488924572
c1	Vγ9Vδ2	CD57	0.225043536277453
c1	Vγ9Vδ2	CD57	0.766629209421083
c1	Vγ9Vδ2	CD57	0.858032973595238
c1	Vγ9Vδ2	CD57	0.751242023340178
c1	Vγ9Vδ2	CD57	1.05954040076111
c1	Vγ9Vδ2	CD57	0.290238374974338
c1	Vγ9Vδ2	CD57	0.98951405496764
c1	Vγ9Vδ2	CD57	2.30076460773961
c1	Vγ9Vδ2	CD57	1.48886724019574
c1	Vγ9Vδ2	CD57	0.163799863697045
c1	Vγ9Vδ2	CD28	3.36212243604551
c1	Vγ9Vδ2	CD28	3.107407415495
c1	Vγ9Vδ2	CD28	3.42893761199152
c1	Vγ9Vδ2	CD28	3.50464764228234
c1	Vγ9Vδ2	CD28	4.21624044249645
c1	Vγ9Vδ2	CD28	3.33229909389301
c1	Vγ9Vδ2	CD28	3.34974644874308
c1	Vγ9Vδ2	CD28	3.26167588028524
c1	Vγ9Vδ2	CD28	4.21685777300891
c1	Vγ9Vδ2	CD28	4.23529896233883
c1	Vγ9Vδ2	CD28	2.56989177649153
c1	Vγ9Vδ2	CD28	3.73182341960859
c1	Vγ9Vδ2	CD28	3.56264213137833
c1	Vγ9Vδ2	CD28	4.06322029101632
c1	Vγ9Vδ2	CD28	4.05771089997247
c1	Vγ9Vδ2	CD28	2.9614601187767
c1	Vγ9Vδ2	CD28	4.06062592952395
c1	Vγ9Vδ2	CD28	3.84525236663133
c1	Vγ9Vδ2	CD28	3.29647931862918
c1	Vγ9Vδ2	CD28	3.75438054896215
c1	Vγ9Vδ2	CD28	2.92718571206289
c1	Vγ9Vδ2	CD28	3.48828018517148
c1	Vγ9Vδ2	CD28	3.42677816770113
c1	Vγ9Vδ2	CD28	3.13495001283209
c1	Vγ9Vδ2	CD28	3.84831793770985
c1	Vγ9Vδ2	CD28	1.71453403451156
c1	Vγ9Vδ2	CD28	3.69441600617805
c1	Vγ9Vδ2	CD28	3.43413773640786
c1	Vγ9Vδ2	CD28	3.95153712493771
c1	Vγ9Vδ2	CD28	3.59834519351356
c1	Vγ9Vδ2	CD28	3.75038931195325
c1	Vγ9Vδ2	CD28	4.35364729133205
c1	Vγ9Vδ2	CD28	3.91495036981835
c1	Vγ9Vδ2	CD28	3.44396518669926
c1	Vγ9Vδ2	CD28	3.8131103174304
c1	Vγ9Vδ2	CD28	3.77238428054376
c1	Vγ9Vδ2	CD28	4.35252146110115
c1	Vγ9Vδ2	CD28	3.90711221954371
c1	Vγ9Vδ2	CD28	3.71715254961679
c1	Vγ9Vδ2	CD28	3.2886067534161
c1	Vγ9Vδ2	CD28	3.78120657909253
c1	Vγ9Vδ2	CD28	3.26365934422449
c1	Vγ9Vδ2	CD28	3.93003600477276
c1	Vγ9Vδ2	CD28	3.55542470417737
c1	Vγ9Vδ2	CD28	2.57800084516673
c1	Vγ9Vδ2	CD28	4.26575893376112
c1	Vγ9Vδ2	CD28	4.96410900388625
c1	Vγ9Vδ2	CD28	3.32059628334699
c1	Vγ9Vδ2	CD28	4.37792279513761
c1	Vγ9Vδ2	CD28	3.24304455799239
c1	Vγ9Vδ2	CD28	3.00918173296935
c1	Vγ9Vδ2	CD28	4.99790473737693
c1	Vγ9Vδ2	CD28	4.687127869627
c1	Vγ9Vδ2	CD28	3.9172005570049
c1	Vγ9Vδ2	CD28	3.07804204926
c1	Vγ9Vδ2	CD28	3.38768533592882
c1	Vγ9Vδ2	CD28	3.97937940773343
c1	Vγ9Vδ2	CD28	3.88452858463895
c1	Vγ9Vδ2	CD28	3.80478923504566
c1	Vγ9Vδ2	CD28	3.40128340385631
c1	Vγ9Vδ2	CD28	3.52668875451479
c1	Vγ9Vδ2	CD28	3.40070100161024
c1	Vγ9Vδ2	CD28	4.18831546830144
c1	Vγ9Vδ2	CD28	4.25667032287521
c1	Vγ9Vδ2	CD28	3.73047364133643
c1	Vγ9Vδ2	CD28	3.70026899107651
c1	Vγ9Vδ2	CD28	3.86589835713619
c1	Vγ9Vδ2	CD28	4.05202766905335
c1	Vγ9Vδ2	CD28	4.1109575223755
c1	Vγ9Vδ2	CD28	4.09320028953281
c1	Vγ9Vδ2	CD28	4.68512760536326
c1	Vγ9Vδ2	CD28	4.73509832441275
c1	Vγ9Vδ2	CD28	3.63657067096052
c1	Vγ9Vδ2	CD28	3.87966373933913
c1	Vγ9Vδ2	CD28	4.77042826899062
c1	Vγ9Vδ2	CD28	2.44133609597594
c1	Vγ9Vδ2	CD28	2.55788225394203
c1	Vγ9Vδ2	CD28	4.31872079332956
c1	Vγ9Vδ2	CD28	2.76603210737748
c1	Vγ9Vδ2	CD28	4.50079685830192
c1	Vγ9Vδ2	CD28	5.00346580011114
c1	Vγ9Vδ2	CD28	3.27277527515873
c1	Vγ9Vδ2	CD28	3.42428506747964
c1	Vγ9Vδ2	CD28	2.17313429888801
