sample	TCGA-DD-A3A2	TCGA-DD-A39Z	TCGA-FV-A3I0	TCGA-DD-A39X	TCGA-BC-A10U	TCGA-5R-AA1C	TCGA-ED-A66Y	TCGA-DD-AAEI	TCGA-ED-A8O5	TCGA-DD-AACH
FANCD2	0.0709	0.128	0.0488	0.1148	0.1	0.6325	0.7533	0.6478	0.9368	1.4862
FDFT1	3.4359	2.7105	3.1565	3.6709	3.1526	3.851	2.9896	4.5961	4.9501	4.4796
FTH1	3.4595	2.8005	4.0041	3.134	5.4397	7.892	4.2508	6.8743	5.7312	6.6877
FTL	12.4974	12.6362	12.3249	12.588	11.8359	13.8689	11.6983	15.2297	11.8805	13.6396
G6PD	0.8922	0.6723	1.0207	0.83	1.3189	3.2139	4.3448	3.6878	1.9555	5.8446
GCLC	3.4228	2.8859	3.6425	3.2428	3.9317	4.552	1.9083	3.5289	4.6428	4.1163
GLS2	1.2152	0.3679	0.8833	0.4518	0.7914	0.0331	0.0152	0.6213	0.1498	0.1621
GOT1	7.2949	6.8739	7.8459	7.3774	7.7585	4.812	5.4631	6.261	6.6474	6.4329
GPX4	7.0277	6.8003	6.8504	6.8957	7.0025	7.6994	7.0277	7.9866	6.5213	6.8523
HMGCR	2.0302	1.4946	2.6767	2.0589	2.5243	3.1461	3.3269	4.2196	3.7785	3.5909
HMOX1	5.1083	4.0632	6.564	4.4127	6.4597	7.227	1.5454	4.9564	3.428	3.9351
HSBP1	2.395	2.3281	1.9978	2.3401	2.3032	2.8085	2.2869	2.2538	2.5142	2.4474
HSPA5	5.5361	7.0005	6.6093	5.7182	6.9973	7.9496	7.7384	7.0617	7.9372	8.1738
HSPB1	5.8139	6.1537	6.0215	5.7372	6.0982	6.9031	7.7033	8.4315	8.6627	8.3794
IREB2	1.884	1.4227	1.5743	1.8294	1.9494	2.2147	2.7572	1.4365	2.0315	1.7526
KEAP1	3.8879	3.7433	3.6641	3.7333	3.3591	5.2231	4.7664	4.8938	4.2535	4.8348
LOX	0.1881	0.3612	0.3999	0.0904	0.6052	1.7923	3.5021	0.1136	1.0419	0.8508
LPCAT3	1.8448	1.4497	2.3078	2.0812	1.994	1.9393	3.1361	3.0097	2.9929	1.8217
MT1G	9.6219	10.2823	10.7558	10.7985	10.311	1.342	0.0822	1.806	0.8311	4.2028
NCOA4	5.629	5.3415	5.8629	5.1026	5.7129	6.7644	5.9553	5.6654	6.6278	5.1788
NFE2L2	3.9899	3.4698	4.1859	3.9149	4.2356	4.0731	4.1985	3.7257	4.6553	4.4221
NFS1	2.1358	1.9259	2.1761	2.0457	2.0075	2.1729	2.2222	2.0329	2.892	2.5894
NOX1	0.2683	0.3106	0.1152	0.2142	0.138	0.5945	0.262	0.1353	0.3331	0.4451
NOX4	0.0191	0.0174	0.027	0.0142	0.0632	0.2782	0.2525	0.0674	0.2644	0.5672
NQO1	0.3173	1.5017	0.5706	0.7871	1.5644	8.0523	3.0216	7.3081	1.4907	8.1937
PEBP1	10.1363	9.7915	9.6319	9.9616	9.6619	9.5724	8.4983	10.3978	9.9038	8.1795
PGD	3.3838	3.9417	4.4822	4.0492	4.269	5.5494	3.3793	6.0556	4.1756	6.9415
PHKG2	1.397	1.4918	1.311	1.7759	1.315	1.6374	1.7629	1.9206	0.9279	1.9971
PTGS2	0.6988	0.3733	0.2683	0.1785	1.514	0.1017	0.0298	0.0171	0.095	0.3426
RPL8	8.0644	7.9068	7.5641	7.9201	7.8782	8.571	9.2528	9.9284	9.7906	8.783
SAT1	7.0731	6.6617	6.9529	6.6387	7.3253	6.6307	4.6427	6.0813	6.1756	5.9351
SLC1A5	1.317	1.0238	1.6795	1.2344	2.8357	0.8189	6.259	1.3926	1.6062	4.0601
SLC40A1	6.3401	4.7448	4.7554	5.3166	4.9819	9.0071	4.703	6.2052	6.3592	6.2981
SLC7A11	0.0407	0.0055	0.0199	0.0488	0.1841	2.2035	0.039	0.7599	0.1902	2.4965
SQLE	1.1691	0.4126	1.3423	1.1989	1.8275	3.4191	2.7357	5.7478	3.6176	4.481
STEAP3	5.0165	5.8097	5.6625	5.8268	4.7911	4.5885	4.8939	4.8476	4.3075	3.044
TF	8.4213	8.0779	8.9725	8.1267	8.1147	6.9439	7.5041	8.6058	7.9736	6.7906
TFRC	2.1254	1.1479	1.32	1.57	2.0096	4.5501	3.4788	3.718	3.3841	4.3614
ZEB1	1.1906	0.9364	1.2695	1.0412	1.4096	2.2559	2.3081	0.7886	2.0218	2.0963
