umap_1	umap_2	Celltype	Timepoint	Condition
-3.5017	1.7734	Neurons	T0	Obesity
-3.5818	2.3873	Neurons	T1	Obesity
-3.7366	2.6489	Neurons	T1	Control
-3.3087	2.1634	Neurons	T1	Obesity
-3.9538	1.6122	Neurons	T2	Control
-5.4644	2.9064	Neurons	T2	Obesity
-4.2435	2.0427	Neurons	T1	Obesity
-4.4877	2.0758	Neurons	T0	Control
-4.4297	1.9023	Neurons	T0	Obesity
-4.0323	0.8971	Neurons	T1	Control
-4.2173	1.7446	Neurons	T0	Control
-4.1422	1.6198	Neurons	T2	Control
-2.8456	2.5387	Neurons	T2	Control
-4.552	1.2281	Neurons	T0	Control
-3.5337	2.4506	Neurons	T2	Obesity
-3.8089	0.2588	Neurons	T2	Control
-4.3114	2.3723	Neurons	T0	Control
-3.4238	1.9198	Neurons	T1	Control
-3.4912	2.1462	Neurons	T1	Control
-3.878	1.2729	Neurons	T2	Control
-3.4966	0.8895	Neurons	T0	Control
-4.6806	2.9377	Neurons	T0	Control
-4.2762	1.1246	Neurons	T1	Obesity
-4.8574	2.22	Neurons	T1	Control
-4.0188	2.6717	Neurons	T0	Obesity
-4.7953	2.4575	Neurons	T2	Control
-4.4845	1.8408	Neurons	T1	Obesity
-4.243	1.4102	Neurons	T0	Obesity
-4.3921	1.5261	Neurons	T2	Control
-5.4421	1.2769	Neurons	T1	Control
-4.3576	1.9714	Neurons	T1	Obesity
-4.0457	2.134	Neurons	T0	Control
-5.0559	0.9427	Neurons	T1	Obesity
-3.9007	2.2118	Neurons	T1	Control
-5.0462	1.934	Neurons	T0	Control
-4.3609	2.1858	Neurons	T1	Control
-4.2612	2.146	Neurons	T2	Obesity
-4.0578	1.1197	Neurons	T1	Control
-3.986	1.6234	Neurons	T2	Obesity
-3.0915	1.2762	Neurons	T2	Control
-4.378	1.7592	Neurons	T0	Obesity
-3.9917	1.985	Neurons	T1	Control
-5.0778	1.692	Neurons	T0	Obesity
-3.8309	2.1513	Neurons	T0	Control
-3.9659	2.3244	Neurons	T0	Obesity
-3.8207	1.0098	Neurons	T2	Obesity
-4.7449	2.1767	Neurons	T2	Control
-3.737	2.0426	Neurons	T1	Control
-3.2663	0.9731	Neurons	T2	Obesity
-3.3275	1.5351	Neurons	T0	Obesity
-4.6215	1.574	Neurons	T0	Control
-4.3551	2.015	Neurons	T0	Obesity
-4.1967	1.4081	Neurons	T0	Obesity
-4.5113	2.4272	Neurons	T0	Control
-3.8781	2.1654	Neurons	T1	Obesity
-4.1414	1.8288	Neurons	T1	Control
-4.9196	2.5	Neurons	T1	Control
-4.2537	2.3716	Neurons	T2	Obesity
-4.9803	1.9211	Neurons	T0	Control
-4.3391	2.5171	Neurons	T2	Obesity
-4.1829	1.3003	Neurons	T2	Control
-4.2193	1.7722	Neurons	T0	Control
-3.9163	1.0481	Neurons	T2	Control
-4.0172	2.7736	Neurons	T2	Control
-3.6813	1.1805	Neurons	T2	Control
-4.0286	2.7782	Neurons	T2	Obesity
-4.7992	2.536	Neurons	T2	Control
-3.6156	1.7983	Neurons	T2	Control
-4.7449	1.7734	Neurons	T0	Control
-3.5677	1.4824	Neurons	T1	Obesity
-3.7149	0.9487	Neurons	T1	Control
-3.5609	0.8354	Neurons	T2	Obesity
-4.2536	2.3167	Neurons	T2	Control
-4.2513	1.7912	Neurons	T0	Control
-3.8317	1.724	Neurons	T0	Obesity
-4.5986	1.9374	Neurons	T0	Control
-2.9481	1.5843	Neurons	T2	Obesity
-4.3462	1.4723	Neurons	T2	Control
-4.4125	0.9803	Neurons	T1	Control
-4.2829	1.1246	Neurons	T0	Control
-4.4828	1.6732	Neurons	T1	Control
-4.0112	1.3746	Neurons	T0	Control
-4.2166	1.5901	Neurons	T0	Control
-4.4738	0.8255	Neurons	T0	Control
-3.7207	2.0533	Neurons	T1	Control
-4.1591	1.9167	Neurons	T0	Control
-3.9717	1.9074	Neurons	T2	Obesity
-2.6757	1.444	Neurons	T0	Obesity
-3.2572	2.2567	Neurons	T2	Control
-4.8788	2.7414	Neurons	T0	Obesity
-4.1041	1.9995	Neurons	T2	Control
-3.6592	1.8875	Neurons	T0	Control
-3.8379	1.8717	Neurons	T0	Control
-3.2914	2.6825	Neurons	T1	Obesity
-4.8907	1.1184	Neurons	T2	Obesity
-3.7154	1.8112	Neurons	T2	Control
-3.7916	2.7721	Neurons	T1	Control
-4.1952	2.4219	Neurons	T0	Control
-4.3988	2.7732	Neurons	T2	Obesity
-4.4913	1.6677	Neurons	T0	Obesity
-4.7736	1.7573	Neurons	T1	Control
-4.9004	1.1454	Neurons	T0	Obesity
-3.7974	2.0123	Neurons	T0	Obesity
-3.8275	1.7223	Neurons	T0	Control
-4.6648	1.7398	Neurons	T0	Control
-4.4741	0.784	Neurons	T1	Control
-3.4173	0.8162	Neurons	T0	Control
-4.4643	1.7992	Neurons	T0	Control
-4.6242	2.5062	Neurons	T1	Control
-3.6836	2.3037	Neurons	T1	Control
-4.7581	3.0831	Neurons	T2	Control
-4.2864	2.9749	Neurons	T0	Control
-4.125	2.3198	Neurons	T0	Obesity
-3.9987	1.0612	Neurons	T2	Control
-3.9985	2.0267	Neurons	T1	Control
-4.4314	2.313	Neurons	T2	Obesity
-4.6948	1.2911	Neurons	T2	Control
-4.2139	2.1367	Neurons	T0	Control
-4.1864	1.3838	Neurons	T2	Obesity
-3.8914	1.9432	Neurons	T0	Control
-5.1014	1.7476	Neurons	T2	Control
-4.5443	0.9344	Neurons	T1	Control
-3.6669	2.2837	Neurons	T1	Control
-4.1764	2.2501	Neurons	T0	Obesity
-5.3221	1.7585	Neurons	T0	Control
-4.0427	1.6514	Neurons	T0	Control
-5.2356	2.0589	Neurons	T0	Obesity
-4.2829	2.0182	Neurons	T0	Obesity
-4.2733	2.5532	Neurons	T1	Control
-3.4435	2.0117	Neurons	T2	Obesity
-4.7597	1.2195	Neurons	T0	Obesity
-3.7548	2.0682	Neurons	T0	Control
-3.6737	0.7411	Neurons	T2	Obesity
-3.849	1.4856	Neurons	T0	Obesity
-3.2144	3.4642	Neurons	T0	Obesity
-3.5555	1.0532	Neurons	T0	Obesity
-3.4079	2.2251	Neurons	T0	Control
-4.9185	2.9279	Neurons	T0	Control
-4.2136	2.0216	Neurons	T1	Obesity
-3.9303	3.161	Neurons	T0	Control
-5.1274	1.377	Neurons	T0	Obesity
-4.6563	1.7073	Neurons	T0	Control
-4.3313	1.7728	Neurons	T0	Obesity
-4.2142	1.5836	Neurons	T0	Control
-3.7049	1.6758	Neurons	T0	Obesity
-3.4139	1.7585	Neurons	T2	Control
-4.1673	2.0065	Neurons	T0	Obesity
-4.5019	1.8642	Neurons	T2	Obesity
-3.75	1.5733	Neurons	T1	Obesity
-4.445	2.3136	Neurons	T0	Obesity
-4.3983	1.3675	Neurons	T1	Obesity
-4.2878	2.054	Neurons	T0	Control
-4.0033	1.4029	Neurons	T0	Obesity
-5.4231	2.3664	Neurons	T2	Control
-4.2635	1.5434	Neurons	T1	Control
-4.8732	1.9436	Neurons	T0	Control
-4.8573	1.7706	Neurons	T1	Control
-3.8528	1.6503	Neurons	T0	Obesity
-5.1332	1.6222	Neurons	T2	Control
-4.075	2.0938	Neurons	T0	Control
-4.3706	2.597	Neurons	T1	Control
-3.5265	2.7458	Neurons	T0	Obesity
-4.562	1.459	Neurons	T1	Control
-4.3793	1.6178	Neurons	T2	Control
-2.7421	2.4736	Neurons	T1	Control
-3.7387	0.4173	Neurons	T1	Control
-4.6416	1.117	Neurons	T2	Control
-4.2862	1.898	Neurons	T2	Obesity
-4.77	1.3011	Neurons	T2	Control
-4.9784	3.3316	Neurons	T1	Control
-3.7005	2.8223	Neurons	T0	Control
-4.5296	1.2058	Neurons	T1	Control
3.3493	2.2086	Astrocytes	T2	Obesity
3.6041	2.7567	Astrocytes	T0	Control
3.3595	1.8759	Astrocytes	T1	Obesity
3.4651	2.3221	Astrocytes	T1	Control
3.6704	2.4289	Astrocytes	T0	Control
4.6039	1.8852	Astrocytes	T2	Control
3.1024	2.0213	Astrocytes	T2	Control
3.9962	2.637	Astrocytes	T0	Control
2.8478	2.485	Astrocytes	T0	Obesity
3.5385	2.433	Astrocytes	T1	Control
2.5458	2.5535	Astrocytes	T1	Control
4.4774	2.977	Astrocytes	T1	Obesity
2.8519	1.6704	Astrocytes	T0	Obesity
4.3193	2.9161	Astrocytes	T1	Control
4.3963	1.8909	Astrocytes	T2	Control
4.2069	2.013	Astrocytes	T1	Obesity
3.2017	3.1843	Astrocytes	T0	Control
3.9528	4.1406	Astrocytes	T0	Control
4.7497	1.8078	Astrocytes	T2	Control
3.3848	3.2316	Astrocytes	T1	Control
2.5511	2.2977	Astrocytes	T0	Obesity
3.2239	2.7547	Astrocytes	T1	Control
3.641	2.2399	Astrocytes	T0	Obesity
3.731	2.3186	Astrocytes	T1	Control
3.1481	1.6597	Astrocytes	T0	Obesity
4.1661	1.7704	Astrocytes	T0	Control
3.2483	2.2031	Astrocytes	T1	Obesity
2.9329	2.6905	Astrocytes	T0	Obesity
3.5549	2.9095	Astrocytes	T2	Control
3.3252	3.0465	Astrocytes	T0	Control
2.1028	3.1297	Astrocytes	T0	Control
3.6792	2.4795	Astrocytes	T1	Control
3.7557	2.3656	Astrocytes	T1	Control
3.9169	2.8062	Astrocytes	T2	Control
3.1032	2.659	Astrocytes	T1	Control
3.7126	2.3744	Astrocytes	T0	Obesity
3.8036	2.5256	Astrocytes	T1	Obesity
4.1122	2.9648	Astrocytes	T1	Control
3.4785	1.5607	Astrocytes	T1	Control
3.1308	3.6873	Astrocytes	T0	Control
3.1161	2.377	Astrocytes	T1	Obesity
4.1736	2.3344	Astrocytes	T1	Control
4.4889	2.1709	Astrocytes	T0	Obesity
2.7756	2.269	Astrocytes	T1	Control
2.5513	2.0703	Astrocytes	T1	Control
3.968	2.5522	Astrocytes	T2	Obesity
3.7307	2.7176	Astrocytes	T0	Control
3.4365	3.1916	Astrocytes	T1	Obesity
3.181	2.5486	Astrocytes	T1	Obesity
3.5307	2.6324	Astrocytes	T0	Control
4.0706	2.7908	Astrocytes	T1	Obesity
3.2957	2.5147	Astrocytes	T0	Control
4.5341	2.4023	Astrocytes	T1	Control
4.1341	2.6746	Astrocytes	T1	Control
3.9953	1.6917	Astrocytes	T0	Control
4.0436	1.7358	Astrocytes	T0	Obesity
3.5643	2.1923	Astrocytes	T0	Control
3.0198	2.0414	Astrocytes	T1	Control
2.82	2.5252	Astrocytes	T0	Control
3.1416	2.2864	Astrocytes	T0	Control
3.541	2.1884	Astrocytes	T1	Control
3.407	1.4178	Astrocytes	T2	Obesity
3.7442	2.3773	Astrocytes	T0	Obesity
3.1999	2.8672	Astrocytes	T1	Control
4.0894	3.2388	Astrocytes	T0	Control
2.9856	2.0268	Astrocytes	T2	Obesity
2.2528	1.3681	Astrocytes	T1	Control
3.4488	3.0318	Astrocytes	T0	Control
3.9865	2.5974	Astrocytes	T0	Control
4.0588	1.959	Astrocytes	T1	Control
3.6171	3.5407	Astrocytes	T1	Control
3.4738	3.1434	Astrocytes	T0	Control
3.1671	1.0149	Astrocytes	T0	Obesity
3.0426	2.6809	Astrocytes	T0	Obesity
3.3719	2.1533	Astrocytes	T0	Control
3.7501	1.621	Astrocytes	T0	Control
4.098	2.7806	Astrocytes	T2	Control
3.5938	2.6523	Astrocytes	T1	Obesity
4.16	2.6768	Astrocytes	T2	Obesity
4.3974	2.19	Astrocytes	T1	Control
3.0199	1.3094	Astrocytes	T2	Control
3.6062	1.8261	Astrocytes	T0	Control
4.3598	2.731	Astrocytes	T1	Obesity
3.8111	2.8034	Astrocytes	T2	Obesity
3.8167	2.6527	Astrocytes	T2	Obesity
3.2917	3.2946	Astrocytes	T1	Obesity
3.6047	2.5215	Astrocytes	T0	Control
4.0779	1.9767	Astrocytes	T2	Control
5.6348	2.204	Astrocytes	T1	Control
3.2986	2.8342	Astrocytes	T1	Obesity
3.8617	1.9938	Astrocytes	T0	Control
4.0315	1.9996	Astrocytes	T1	Control
3.6457	1.4272	Astrocytes	T1	Obesity
3.5492	2.4451	Astrocytes	T1	Control
3.0454	1.0607	Astrocytes	T1	Control
3.1293	2.678	Astrocytes	T0	Control
3.6335	2.1834	Astrocytes	T0	Control
3.301	2.9825	Astrocytes	T0	Control
3.6255	2.8549	Astrocytes	T0	Obesity
3.6457	3.118	Astrocytes	T0	Control
3.3562	1.2793	Astrocytes	T0	Control
3.521	2.3518	Astrocytes	T1	Obesity
3.5775	2.2273	Astrocytes	T0	Obesity
3.3602	2.7858	Astrocytes	T2	Control
3.5054	2.3212	Astrocytes	T0	Control
3.4104	1.749	Astrocytes	T1	Control
3.7788	3.7349	Astrocytes	T0	Control
3.05	1.3055	Astrocytes	T0	Control
2.6082	2.7615	Astrocytes	T2	Obesity
2.9834	2.4292	Astrocytes	T0	Control
3.9324	2.6203	Astrocytes	T1	Control
4.4168	2.3202	Astrocytes	T1	Obesity
4.1674	3.2087	Astrocytes	T1	Obesity
3.8929	2.5597	Astrocytes	T1	Obesity
4.0202	2.9034	Astrocytes	T1	Control
2.6025	1.872	Astrocytes	T1	Obesity
3.0151	2.9688	Astrocytes	T1	Control
2.809	2.6994	Astrocytes	T0	Control
3.8979	2.3774	Astrocytes	T0	Control
2.9495	2.6149	Astrocytes	T2	Obesity
3.8156	2.2875	Astrocytes	T0	Control
3.7363	1.9666	Astrocytes	T1	Obesity
2.5741	2.9787	Astrocytes	T0	Obesity
3.4128	2.8438	Astrocytes	T0	Control
2.6166	2.614	Astrocytes	T2	Obesity
4.5375	2.6351	Astrocytes	T1	Obesity
3.5188	3.1136	Astrocytes	T1	Control
3.0152	2.8766	Astrocytes	T1	Control
3.4897	2.9008	Astrocytes	T0	Control
2.5811	2.1397	Astrocytes	T1	Control
3.4409	2.6043	Astrocytes	T0	Obesity
3.2022	2.1394	Astrocytes	T0	Control
3.3925	1.8345	Astrocytes	T2	Control
2.5501	1.9209	Astrocytes	T0	Obesity
3.6657	2.3221	Astrocytes	T2	Control
3.8238	2.5814	Astrocytes	T1	Control
3.974	3.1892	Astrocytes	T0	Obesity
2.8078	2.4875	Astrocytes	T0	Control
4.0427	2.136	Astrocytes	T1	Control
3.6397	1.3804	Astrocytes	T1	Control
3.8406	2.3156	Astrocytes	T0	Control
3.3588	2.2978	Astrocytes	T0	Control
3.1708	4.0124	Astrocytes	T0	Control
4.967	2.4243	Astrocytes	T0	Control
4.4927	3.0041	Astrocytes	T1	Obesity
2.9919	2.0948	Astrocytes	T1	Obesity
2.355	2.1423	Astrocytes	T2	Control
3.0819	2.4024	Astrocytes	T0	Control
3.525	1.3294	Astrocytes	T2	Obesity
3.2487	2.6692	Astrocytes	T1	Obesity
3.7552	1.2576	Astrocytes	T1	Obesity
4.568	2.8824	Astrocytes	T1	Control
4.1204	3.7979	Astrocytes	T2	Obesity
2.8546	2.6151	Astrocytes	T2	Control
4.0278	2.6144	Astrocytes	T0	Control
3.4208	2.2332	Astrocytes	T1	Control
3.6005	2.3558	Astrocytes	T1	Control
3.2436	2.4754	Astrocytes	T2	Control
4.2774	3.0132	Astrocytes	T1	Obesity
3.2345	1.5706	Astrocytes	T0	Control
3.3791	2.4522	Astrocytes	T1	Control
3.396	2.6685	Astrocytes	T0	Control
3.3662	2.7155	Astrocytes	T0	Obesity
3.8426	3.2871	Astrocytes	T0	Control
3.23	3.1188	Astrocytes	T1	Control
3.8292	3.3987	Astrocytes	T1	Control
2.8312	2.5946	Astrocytes	T0	Control
3.1342	2.4767	Astrocytes	T1	Obesity
3.2557	2.4863	Astrocytes	T0	Obesity
3.9845	2.0801	Astrocytes	T1	Obesity
3.294	2.029	Astrocytes	T0	Obesity
4.0363	2.4172	Astrocytes	T0	Obesity
3.6772	3.6681	Astrocytes	T2	Control
4.9985	2.9921	Astrocytes	T1	Obesity
3.2143	2.2534	Astrocytes	T0	Control
3.9436	2.4947	Astrocytes	T0	Obesity
3.3851	1.3972	Astrocytes	T1	Obesity
2.5839	1.5526	Astrocytes	T0	Control
4.2763	3.0854	Astrocytes	T0	Obesity
3.9805	1.1858	Astrocytes	T2	Obesity
3.8692	2.3436	Astrocytes	T2	Obesity
3.1108	2.0441	Astrocytes	T0	Control
2.7836	2.1464	Astrocytes	T0	Control
3.0524	2.1332	Astrocytes	T0	Control
3.4971	2.1648	Astrocytes	T1	Control
4.0962	2.7629	Astrocytes	T0	Control
2.9964	2.2429	Astrocytes	T0	Control
3.3839	2.9151	Astrocytes	T0	Control
3.6533	2.9185	Astrocytes	T0	Obesity
4.7818	1.9729	Astrocytes	T1	Control
3.5273	1.9542	Astrocytes	T1	Control
3.6655	2.9385	Astrocytes	T1	Obesity
3.592	3.5716	Astrocytes	T2	Control
3.5671	1.7383	Astrocytes	T1	Control
3.9276	3.0237	Astrocytes	T1	Control
4.7658	2.4487	Astrocytes	T1	Control
3.6902	1.7627	Astrocytes	T1	Control
3.9491	2.6216	Astrocytes	T0	Obesity
3.2511	2.4417	Astrocytes	T2	Obesity
3.793	2.0303	Astrocytes	T0	Obesity
3.6999	2.538	Astrocytes	T0	Obesity
3.7407	3.3648	Astrocytes	T0	Control
3.4578	2.616	Astrocytes	T2	Obesity
3.0223	1.6268	Astrocytes	T2	Obesity
2.7927	2.4113	Astrocytes	T1	Control
3.6241	2.5985	Astrocytes	T2	Obesity
4.3906	2.5958	Astrocytes	T2	Control
3.0252	1.5477	Astrocytes	T2	Control
2.8068	3.2469	Astrocytes	T2	Control
4.4387	2.2528	Astrocytes	T0	Obesity
-0.8687	-3.8842	Microglia	T0	Obesity
-0.6287	-3.3282	Microglia	T1	Obesity
-0.8333	-3.4881	Microglia	T2	Obesity
-0.9651	-3.8489	Microglia	T1	Obesity
-0.4108	-2.9674	Microglia	T1	Obesity
-0.7717	-4.4802	Microglia	T0	Obesity
-1.3238	-3.7116	Microglia	T0	Obesity
-2.0061	-3.4583	Microglia	T0	Obesity
-0.5306	-3.6519	Microglia	T2	Obesity
-0.629	-5.1688	Microglia	T0	Obesity
-0.5372	-3.8166	Microglia	T1	Control
-0.462	-4.0497	Microglia	T1	Obesity
-0.4549	-4.5384	Microglia	T2	Obesity
0.4167	-3.6375	Microglia	T1	Obesity
-0.193	-3.8385	Microglia	T1	Obesity
-0.6271	-3.2355	Microglia	T2	Obesity
-0.806	-3.1673	Microglia	T1	Control
-0.8026	-3.6536	Microglia	T0	Obesity
-1.2245	-3.0084	Microglia	T1	Obesity
0.8918	-3.9803	Microglia	T0	Obesity
-0.5136	-3.362	Microglia	T1	Obesity
-0.787	-3.5178	Microglia	T0	Obesity
-0.6696	-4.354	Microglia	T0	Control
-0.0954	-3.3287	Microglia	T1	Control
-0.1295	-4.5333	Microglia	T0	Control
-0.5527	-3.6892	Microglia	T0	Control
0.2123	-4.3773	Microglia	T1	Obesity
-5e-04	-3.8944	Microglia	T2	Obesity
-1.1125	-3.5863	Microglia	T1	Control
-0.2601	-2.7068	Microglia	T0	Obesity
-0.2157	-3.4142	Microglia	T0	Obesity
-0.9955	-3.64	Microglia	T1	Control
0.6028	-3.7926	Microglia	T0	Control
-0.6074	-3.177	Microglia	T0	Control
0.2242	-3.5072	Microglia	T0	Obesity
0.2323	-3.3153	Microglia	T2	Obesity
0.3482	-3.0269	Microglia	T0	Obesity
-0.3993	-2.6408	Microglia	T0	Control
-0.0537	-3.9008	Microglia	T2	Obesity
-1.074	-3.8558	Microglia	T0	Obesity
0.0411	-3.1611	Microglia	T2	Obesity
-0.2984	-3.0768	Microglia	T0	Control
0.1536	-4.0344	Microglia	T0	Obesity
-0.8786	-4.8087	Microglia	T1	Obesity
0.6522	-4.6083	Microglia	T2	Control
-0.8942	-3.4868	Microglia	T2	Control
0.049	-3.9896	Microglia	T1	Obesity
-0.1995	-4.2748	Microglia	T0	Obesity
-0.782	-3.6973	Microglia	T2	Obesity
-0.4605	-3.7398	Microglia	T2	Obesity
-0.8506	-3.6833	Microglia	T2	Obesity
-0.0199	-5.1029	Microglia	T0	Control
-0.4535	-4.1123	Microglia	T2	Control
-0.7738	-4.5015	Microglia	T0	Obesity
-0.9993	-4.5753	Microglia	T1	Control
-0.5487	-3.4018	Microglia	T1	Control
-0.0429	-3.2668	Microglia	T1	Obesity
-0.1231	-4.394	Microglia	T2	Obesity
0.7866	-3.4566	Microglia	T0	Obesity
0.2321	-4.3357	Microglia	T1	Control
-0.7497	-3.8142	Microglia	T2	Obesity
0.0551	-3.0997	Microglia	T1	Obesity
-0.0648	-4.0053	Microglia	T0	Obesity
-0.0252	-3.21	Microglia	T2	Obesity
-0.4524	-3.3389	Microglia	T0	Control
-0.4016	-3.6661	Microglia	T1	Obesity
-0.0525	-3.7649	Microglia	T0	Obesity
-0.8503	-4.5154	Microglia	T1	Control
-0.1868	-3.5834	Microglia	T0	Obesity
-0.9381	-3.8375	Microglia	T0	Control
-0.1917	-3.7257	Microglia	T0	Obesity
-0.2072	-4.0835	Microglia	T2	Obesity
-0.6015	-4.501	Microglia	T2	Control
0.3562	-3.6088	Microglia	T0	Obesity
0.0119	-4.655	Microglia	T0	Obesity
-0.0995	-2.7366	Microglia	T1	Obesity
0.4448	-5.2098	Microglia	T0	Obesity
-0.6328	-3.8051	Microglia	T1	Obesity
-0.1489	-3.5498	Microglia	T2	Obesity
-0.6012	-3.2188	Microglia	T1	Control
-0.9898	-3.0138	Microglia	T1	Obesity
0.8074	-3.3175	Microglia	T0	Obesity
-0.3979	-3.7001	Microglia	T1	Control
-0.382	-3.957	Microglia	T1	Obesity
-0.5284	-4.0505	Microglia	T0	Control
-0.9959	-4.1865	Microglia	T2	Control
-0.4651	-4.1151	Microglia	T0	Control
-0.0244	-3.9544	Microglia	T1	Obesity
0.2567	-3.149	Microglia	T1	Obesity
1.201	-3.0639	Microglia	T0	Obesity
0.1258	-5.3081	Microglia	T2	Obesity
-0.4185	-4.3824	Microglia	T0	Obesity
-1.4941	-4.2925	Microglia	T2	Obesity
-1.0349	-3.9963	Microglia	T1	Obesity
-0.8267	-3.7961	Microglia	T2	Control
0.1346	-4.4854	Microglia	T0	Control
-1.0696	-4.8968	Microglia	T0	Obesity
-0.3464	-3.2455	Microglia	T0	Control
-0.2579	-2.8901	Microglia	T0	Obesity
0.4402	-3.5716	Microglia	T1	Obesity
0.5333	-3.9387	Microglia	T2	Obesity
-0.3292	-2.4659	Microglia	T2	Obesity
-0.0666	-4.0571	Microglia	T0	Obesity
-1.2664	-4.039	Microglia	T1	Obesity
-0.7865	-3.5883	Microglia	T0	Control
0.2045	-3.5847	Microglia	T2	Control
0.3248	-3.6857	Microglia	T0	Control
-0.4024	-3.5973	Microglia	T0	Control
-0.062	-3.7089	Microglia	T1	Control
-0.0804	-4.2123	Microglia	T2	Obesity
-0.2903	-4.603	Microglia	T1	Control
-0.8211	-3.4247	Microglia	T0	Obesity
