day	value
Sat	58.68
Sat	62.05
Sat	42.58
Sat	65.13
Sat	58.98
Sat	52.01
Sat	60.04
Sat	71.36
Sat	54.56
Sat	56.17
Sat	52.82
Sat	46.74
Sat	60.46
Sat	48.27
Sat	55.68
Sat	53.15
Sun	48.77
Sun	50.61
Sun	58.43
Sun	73.49
Sun	56.84
Sun	46.8
Sun	58.28
Sun	56.76
Sun	37.68
Sun	59.18
Sun	58.25
Sun	65.64
Sun	74.82
Sun	71.33
Sun	58.78
Sun	49.2
Sun	83.25
Sun	60.45
Sun	61.7
Sun	61.0
Sun	61.38
Sun	56.87
Sun	54.22
Sun	55.54
Sun	60.26
Sun	54.43
Sun	52.53
Sun	62.24
Sun	59.78
Sun	72.83
Sun	36.26
Sun	68.32
Sun	68.62
Sun	44.11
Sun	55.57
Sun	57.16
Sun	47.19
Sun	53.64
Sun	51.21
Sun	76.14
Sun	66.74
Sun	68.8
Sun	64.65
Sun	52.05
Sun	57.06
Sun	64.53
Sun	50.06
Sun	66.69
Sun	56.67
Sun	58.49
Sun	65.69
Sun	63.29
Sun	57.02
Sun	68.0
Sun	49.52
Sun	66.16
Sun	63.35
Sun	57.79
Sun	61.74
Sun	48.97
