parent	name	path	value
encoder	ColorEncoder	flare/vis/operator/encoder/ColorEncoder	3179
encoder	Encoder	flare/vis/operator/encoder/Encoder	4060
encoder	PropertyEncoder	flare/vis/operator/encoder/PropertyEncoder	4138
encoder	ShapeEncoder	flare/vis/operator/encoder/ShapeEncoder	1690
encoder	SizeEncoder	flare/vis/operator/encoder/SizeEncoder	1830
operator	filter	flare/vis/operator/filter	
filter	FisheyeTreeFilter	flare/vis/operator/filter/FisheyeTreeFilter	5219
filter	GraphDistanceFilter	flare/vis/operator/filter/GraphDistanceFilter	3165
filter	VisibilityFilter	flare/vis/operator/filter/VisibilityFilter	3509
operator	IOperator	flare/vis/operator/IOperator	1286
operator	label	flare/vis/operator/label	
label	Labeler	flare/vis/operator/label/Labeler	9956
label	RadialLabeler	flare/vis/operator/label/RadialLabeler	3899
label	StackedAreaLabeler	flare/vis/operator/label/StackedAreaLabeler	3202
operator	layout	flare/vis/operator/layout	
layout	AxisLayout	flare/vis/operator/layout/AxisLayout	6725
layout	BundledEdgeRouter	flare/vis/operator/layout/BundledEdgeRouter	3727
layout	CircleLayout	flare/vis/operator/layout/CircleLayout	9317
layout	CirclePackingLayout	flare/vis/operator/layout/CirclePackingLayout	12003
layout	DendrogramLayout	flare/vis/operator/layout/DendrogramLayout	4853
layout	ForceDirectedLayout	flare/vis/operator/layout/ForceDirectedLayout	8411
layout	IcicleTreeLayout	flare/vis/operator/layout/IcicleTreeLayout	4864
layout	IndentedTreeLayout	flare/vis/operator/layout/IndentedTreeLayout	3174
layout	Layout	flare/vis/operator/layout/Layout	7881
layout	NodeLinkTreeLayout	flare/vis/operator/layout/NodeLinkTreeLayout	12870
layout	PieLayout	flare/vis/operator/layout/PieLayout	2728
layout	RadialTreeLayout	flare/vis/operator/layout/RadialTreeLayout	12348
layout	RandomLayout	flare/vis/operator/layout/RandomLayout	870
layout	StackedAreaLayout	flare/vis/operator/layout/StackedAreaLayout	9121
layout	TreeMapLayout	flare/vis/operator/layout/TreeMapLayout	9191
operator	Operator	flare/vis/operator/Operator	2490
operator	OperatorList	flare/vis/operator/OperatorList	5248
operator	OperatorSequence	flare/vis/operator/OperatorSequence	4190
operator	OperatorSwitch	flare/vis/operator/OperatorSwitch	2581
operator	SortOperator	flare/vis/operator/SortOperator	2023
vis	Visualization	flare/vis/Visualization	16540
