Feature	CNV	Group	Type	rho	p
Interferon MHC II (1)	Chrom. Loss	WGD-high	Interferon MHC	0.55	1e-06
Interferon MHC II (1)	Arm Gain	WGD-high	Interferon MHC	0.147	0.0311
Interferon MHC II (1)	Arm Loss	WGD-high	Interferon MHC	0.388	2.61e-05
Interferon MHC II (1)	Segment Gain	WGD-high	Interferon MHC	0.139	0.0441
Interferon MHC II (1)	Segment Loss	WGD-high	Interferon MHC	0.258	0.00484
Complement	Chrom. Gain	WGD-high	Hallmark inflammatory	0.112	0.0903
Complement	Chrom. Loss	WGD-high	Hallmark inflammatory	0.181	0.00961
Complement	Arm Gain	WGD-high	Hallmark inflammatory	0.154	0.0676
Complement	Arm Loss	WGD-high	Hallmark inflammatory	0.371	4.73e-05
Complement	Segment Gain	WGD-high	Hallmark inflammatory	0.175	0.042
Complement	Segment Loss	WGD-high	Hallmark inflammatory	0.55	1e-06
Apoptosis	Chrom. Gain	WGD-high	Hallmark inflammatory	0.121	0.104
Apoptosis	Chrom. Loss	WGD-high	Hallmark inflammatory	0.462	2.62e-06
Apoptosis	Arm Gain	WGD-high	Hallmark inflammatory	0.094	0.197
Apoptosis	Arm Loss	WGD-high	Hallmark inflammatory	0.198	0.0295
Apoptosis	Segment Gain	WGD-high	Hallmark inflammatory	0.012	0.9
Apoptosis	Segment Loss	WGD-high	Hallmark inflammatory	0.55	1e-06
TNFa via NFKB	Chrom. Gain	WGD-high	Hallmark inflammatory	0.04	0.9
TNFa via NFKB	Chrom. Loss	WGD-high	Hallmark inflammatory	0.448	1e-06
TNFa via NFKB	Arm Gain	WGD-high	Hallmark inflammatory	0.186	0.0309
TNFa via NFKB	Arm Loss	WGD-high	Hallmark inflammatory	0.287	0.00131
TNFa via NFKB	Segment Gain	WGD-high	Hallmark inflammatory	0.089	0.63
TNFa via NFKB	Segment Loss	WGD-high	Hallmark inflammatory	0.466	1.53e-06
Inflam. Resp.	Chrom. Gain	WGD-high	Hallmark inflammatory	-0.091	0.53
Inflam. Resp.	Chrom. Loss	WGD-high	Hallmark inflammatory	0.367	4.66e-05
Inflam. Resp.	Arm Gain	WGD-high	Hallmark inflammatory	-0.041	0.9
Inflam. Resp.	Arm Loss	WGD-high	Hallmark inflammatory	0.462	3.63e-06
Inflam. Resp.	Segment Gain	WGD-high	Hallmark inflammatory	0.132	0.099
Inflam. Resp.	Segment Loss	WGD-high	Hallmark inflammatory	0.307	0.000895
Protein Secretion	Chrom. Gain	WGD-high	Hallmark inflammatory	0.087	0.276
Protein Secretion	Chrom. Loss	WGD-high	Hallmark inflammatory	0.143	0.0298
Protein Secretion	Arm Gain	WGD-high	Hallmark inflammatory	0.103	0.135
Protein Secretion	Arm Loss	WGD-high	Hallmark inflammatory	0.221	0.00485
Protein Secretion	Segment Gain	WGD-high	Hallmark inflammatory	0.088	0.536
Protein Secretion	Segment Loss	WGD-high	Hallmark inflammatory	0.387	4.71e-05
IFNa	Chrom. Gain	WGD-high	Hallmark inflammatory	-0.142	0.164
IFNa	Chrom. Loss	WGD-high	Hallmark inflammatory	0.518	1e-06
IFNa	Arm Gain	WGD-high	Hallmark inflammatory	0.16	0.0987
IFNa	Arm Loss	WGD-high	Hallmark inflammatory	0.305	0.000895
IFNa	Segment Gain	WGD-high	Hallmark inflammatory	-0.18	0.0518
IFNa	Segment Loss	WGD-high	Hallmark inflammatory	0.265	0.0026
IFNg (H)	Chrom. Gain	WGD-high	Hallmark inflammatory	0.169	0.0807
IFNg (H)	Chrom. Loss	WGD-high	Hallmark inflammatory	0.413	1.43e-05
IFNg (H)	Arm Gain	WGD-high	Hallmark inflammatory	0.082	0.113
IFNg (H)	Arm Loss	WGD-high	Hallmark inflammatory	0.411	3.01e-05
IFNg (H)	Segment Gain	WGD-high	Hallmark inflammatory	-0.231	0.0109
IFNg (H)	Segment Loss	WGD-high	Hallmark inflammatory	0.457	2.33e-06
STING1	Chrom. Gain	WGD-high	CIN / ISG	-0.007	0.9
STING1	Chrom. Loss	WGD-high	CIN / ISG	0.029	0.9
STING1	Arm Gain	WGD-high	CIN / ISG	-0.009	0.9
STING1	Arm Loss	WGD-high	CIN / ISG	-0.046	0.9
STING1	Segment Gain	WGD-high	CIN / ISG	-0.072	0.264
STING1	Segment Loss	WGD-high	CIN / ISG	0.101	0.374
CIN	Chrom. Gain	WGD-high	CIN / ISG	-0.029	0.715
CIN	Chrom. Loss	WGD-high	CIN / ISG	0.138	0.0798
CIN	Arm Gain	WGD-high	CIN / ISG	-0.305	0.00128
CIN	Arm Loss	WGD-high	CIN / ISG	-0.141	0.142
CIN	Segment Gain	WGD-high	CIN / ISG	0.011	0.9
CIN	Segment Loss	WGD-high	CIN / ISG	-0.168	0.0507
Inflam.	Chrom. Gain	WGD-high	CIN / ISG	-0.116	0.0413
Inflam.	Chrom. Loss	WGD-high	CIN / ISG	0.234	0.00313
Inflam.	Arm Gain	WGD-high	CIN / ISG	-0.235	0.00449
Inflam.	Arm Loss	WGD-high	CIN / ISG	0.192	0.02
Inflam.	Segment Gain	WGD-high	CIN / ISG	-0.285	0.000613
Inflam.	Segment Loss	WGD-high	CIN / ISG	-0.033	0.9
IFNg (B)	Chrom. Gain	WGD-high	CIN / ISG	-0.181	0.0307
IFNg (B)	Chrom. Loss	WGD-high	CIN / ISG	0.111	0.13
IFNg (B)	Arm Gain	WGD-high	CIN / ISG	-0.11	0.331
IFNg (B)	Arm Loss	WGD-high	CIN / ISG	0.197	0.0249
IFNg (B)	Segment Gain	WGD-high	CIN / ISG	-0.056	0.9
IFNg (B)	Segment Loss	WGD-high	CIN / ISG	-0.182	0.0406
ISG	Chrom. Gain	WGD-high	CIN / ISG	-0.075	0.313
ISG	Chrom. Loss	WGD-high	CIN / ISG	0.054	0.9
ISG	Arm Gain	WGD-high	CIN / ISG	-0.105	0.352
ISG	Arm Loss	WGD-high	CIN / ISG	0.049	0.751
ISG	Segment Gain	WGD-high	CIN / ISG	-0.099	0.108
ISG	Segment Loss	WGD-high	CIN / ISG	0.195	0.023
